gene	Ambalavanan_25449221	Da_paepe_20718599	Hadchoul_data	Hamvas_30342483	Li_26030808	Torgerson_30113228	Wang_23897914	Ahmed_37839510	Zasada_31445514	Zasada_31445514_day36GA	Bharracharya_22723293	Bhattacharya_33552042	Dai_34276789_data	Fulton_30459472	Gong_32412065	Luo_36514862_eqtl	Oji_mmuo_33177681_mRNA	Pietrzyk_24194948_down_day28	Pietrzyk_24194948_down_day5	Pietrzyk_24194948_up_day28	Pietrzyk_24194948_up_day5	Shen_33093882	Siddiah_37123538	Tsotakos_35947545_down	Windhorst_37090732	Yuon_chou_37507442_cpg_day14	Yuon_chou_37507442_cpg_day28	Yuon_chou_37507442_deg_day14	maic_score	contributors	
RDH10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574961	0	0	0	0	0	0	0	0	0	0	0	1.093811169	0	0	2.20838613	TRANSCRIPTOMICS: Fulton_30459472	
BANP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.091142868	0	1.117174035	2.208316903	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
LINC00845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094644092	1.113065998	0	2.20771009	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
MDM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087292159	1.120327407	2.207619566	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
GATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.120130886	0	0	0	0	0	0	0	0	1.087414694	0	2.20754558	TRANSCRIPTOMICS: Pietrzyk_24194948_down_day28	
ROGDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087295459	1.119669677	2.206965136	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SNCAIP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574041	0	0	0	0	0	0	0	0	0	0	0	1.092322228	0	0	2.206896269	TRANSCRIPTOMICS: Fulton_30459472	
SEMA7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08952862	0	1.117300445	2.206829065	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
RHOBTB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087456514	1.119356796	2.20681331	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PDE5A	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575041	0	0	0	0	0	0	0	0	0	0	0	0	1.092199994	0	2.206775035	TRANSCRIPTOMICS: Fulton_30459472	
MACROD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11189351	0	0	0	0	0	0	0	0	0	0	0	1.094636758	0	2.206530267	TRANSCRIPTOMICS: Gong_32412065	
LPCAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574421	0	0	0	0	0	0	0	0	0	0	0	1.091629354	0	0	2.206203775	TRANSCRIPTOMICS: Fulton_30459472	
VSIG10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087295009	1.118494326	2.205789334	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
PLEKHA5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575221	0	0	0	0	0	0	0	0	0	0	0	1.091061787	0	0	2.205637008	TRANSCRIPTOMICS: Fulton_30459472	
PLXDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574321	0	0	0	0	0	0	0	0	0	0	0	1.091047045	0	0	2.205621366	TRANSCRIPTOMICS: Fulton_30459472	
LRCH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087296299	1.118240646	2.205536945	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
NAP1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087291409	1.117186622	2.204478031	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
HLA-DRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.116129454	0	0	0	0	0	0	0	0	0	0	1.088135501	0	0	2.204264955	TRANSCRIPTOMICS: Gong_32412065	
CD3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.119025469	0	0	0	0	0	0	0	1.085201844	0	0	2.204227313	TRANSCRIPTOMICS: Pietrzyk_24194948_down_day28	
FADS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.116621196	0	0	0	0	0	0	0	0	0	0	0	1.087306281	0	2.203927477	TRANSCRIPTOMICS: Gong_32412065	
SEMA4D	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575171	0	0	0	0	0	0	0	0	0	0	0	1.089336974	0	0	2.203912145	TRANSCRIPTOMICS: Fulton_30459472	
PTGER2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575141	0	0	0	0	0	0	0	0	0	0	0	1.08901265	0	0	2.203587791	TRANSCRIPTOMICS: Fulton_30459472	
NXN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08989717	1.113650567	0	2.203547737	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
SH3PXD2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.111212429	0	0	0	0	0	0	0	0	0	0	1.092285373	0	0	2.203497802	TRANSCRIPTOMICS: Gong_32412065	
RAB33B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.096902667	0	2.203363472	TRANSCRIPTOMICS: Windhorst_37090732	
KCNJ15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11533509	0	0	0	0	0	0	0	0	0	0	1.088010194	0	0	2.203345284	TRANSCRIPTOMICS: Gong_32412065	
CCND1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574101	0	0	0	0	0	0	0	0	0	0	0	1.088710439	0	0	2.20328454	TRANSCRIPTOMICS: Fulton_30459472	
OLFML2A	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574241	0	0	0	0	0	0	0	0	0	0	0	1.088061791	0	0	2.202636032	TRANSCRIPTOMICS: Fulton_30459472	
TFAP2C	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574611	0	0	0	0	0	0	0	0	0	0	0	0	1.088046235	0	2.202620846	TRANSCRIPTOMICS: Fulton_30459472	
HDAC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.115228094	0	0	0	0	0	0	0	0	0	0	0	1.087295709	0	2.202523803	TRANSCRIPTOMICS: Gong_32412065	
ZNF532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.117142519	0	0	0	0	0	0	0	0	0	0	1.085282925	0	0	2.202425444	TRANSCRIPTOMICS: Gong_32412065	
RECK	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574761	0	0	0	0	0	0	0	0	0	0	0	0	1.08746363	0	2.202038391	TRANSCRIPTOMICS: Fulton_30459472	
CEACAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.083012658	0	1.118935636	2.201948294	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
NR2F1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575391	0	0	0	0	0	0	0	0	0	0	0	0	1.087293859	0	2.20186925	TRANSCRIPTOMICS: Fulton_30459472	
MYLIP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574621	0	0	0	0	0	0	0	0	0	0	0	0	1.087293149	0	2.20186777	TRANSCRIPTOMICS: Fulton_30459472	
MMP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	1.094695689	0	0	2.20152967	TRANSCRIPTOMICS: Luo_36514862_eqtl	
ABLIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	1.094592495	0	0	2.201426476	TRANSCRIPTOMICS: Luo_36514862_eqtl	
EGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.083167449	0	1.118116502	2.201283951	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SARDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.094563011	0	0	2.201023816	TRANSCRIPTOMICS: Windhorst_37090732	
ARHGAP22	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575511	0	0	0	0	0	0	0	0	0	0	0	1.08627801	0	0	2.200853521	TRANSCRIPTOMICS: Fulton_30459472	
LOC105371601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094231316	1.106548223	0	2.200779539	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
TULP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093632049	0	0	0	0	0	1.106460805	0	0	0	2.200092854	TRANSCRIPTOMICS: Windhorst_37090732	
MAP4K3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.092992988	0	0	2.199453793	TRANSCRIPTOMICS: Windhorst_37090732	
LOC100128310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.084081453	1.114248401	0	2.198329854	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
NME9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108535681	0	0	0	0	0	0	0	0	0	0	1.089764492	0	0	2.198300173	TRANSCRIPTOMICS: Gong_32412065	
FBLN1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114574151	0	0	0	0	0	0	0	0	0	0	0	1.083359095	0	0	2.197933246	TRANSCRIPTOMICS: Fulton_30459472	
P2RY14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.110183176	0	0	0	0	0	0	0	0	0	0	1.087744838	0	0	2.197928015	TRANSCRIPTOMICS: Gong_32412065	
ACVR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.091459821	0	0	2.197920626	TRANSCRIPTOMICS: Windhorst_37090732	
SLC2A4RG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090693237	1.106984901	0	2.197678138	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
EPHB6	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575101	0	0	0	0	0	0	0	0	0	0	0	1.083064255	0	0	2.197639356	TRANSCRIPTOMICS: Fulton_30459472	
ARHGEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.112130445	0	0	0	0	0	0	0	0	0	0	1.085504055	0	0	2.1976345	TRANSCRIPTOMICS: Gong_32412065	
CACNB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086565479	1.110854573	0	2.197420052	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
LIPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109996205	0	0	0	0	0	0	0	0	0	0	0	1.087298907	0	2.197295111	TRANSCRIPTOMICS: Gong_32412065	
KCNH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109797797	0	0	0	0	0	0	0	0	0	0	0	1.087298087	0	2.197095884	TRANSCRIPTOMICS: Gong_32412065	
HIVEP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.090545817	0	0	2.197006622	TRANSCRIPTOMICS: Windhorst_37090732	
ST7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109456934	0	0	0	0	0	0	0	0	0	0	0	1.087292879	0	2.196749813	TRANSCRIPTOMICS: Gong_32412065	
LOC105370364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09396596	1.102680369	0	2.196646329	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
GDF10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114573981	0	0	0	0	0	0	0	0	0	0	0	1.081590056	0	0	2.196164037	TRANSCRIPTOMICS: Fulton_30459472	
DSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108464003	0	0	0	0	0	0	0	0	0	0	0	1.087293069	0	2.195757072	TRANSCRIPTOMICS: Gong_32412065	
P2RY6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.088862216	0	2.195323021	TRANSCRIPTOMICS: Windhorst_37090732	
SNORA28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11031724	0	0	0	0	0	0	0	0	0	0	1.084833295	0	0	2.195150535	TRANSCRIPTOMICS: Gong_32412065	
PLXNC1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.114575201	0	0	0	0	0	0	0	0	0	0	0	1.080307502	0	0	2.194882703	TRANSCRIPTOMICS: Fulton_30459472	
POLD1	0	0	0	0	0	0	0	0	0	0	0	1.062158394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.132561311	2.194719705	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
ARID1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	1.087338883	0	2.194172865	TRANSCRIPTOMICS: Luo_36514862_eqtl	
ANXA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	1.087302004	0	2.194135985	TRANSCRIPTOMICS: Luo_36514862_eqtl	
ERG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	1.087294489	0	2.19412847	TRANSCRIPTOMICS: Luo_36514862_eqtl	
NF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	0	1.087291669	0	2.19412565	TRANSCRIPTOMICS: Luo_36514862_eqtl	
HMOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.087449999	0	0	2.193910803	TRANSCRIPTOMICS: Windhorst_37090732	
YWHAE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.087302549	0	2.193763354	TRANSCRIPTOMICS: Windhorst_37090732	
MICA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	0	1.087292089	0	2.193752894	TRANSCRIPTOMICS: Windhorst_37090732	
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.110610042	0	0	0	0	0	0	0	0	0	0	1.081597427	0	0	2.192207469	TRANSCRIPTOMICS: Gong_32412065	
LOC286083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08960233	1.102339195	0	2.191941525	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
THRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10925276	0	0	0	0	0	0	0	0	0	0	1.082481946	0	0	2.191734707	TRANSCRIPTOMICS: Gong_32412065	
GAB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08310111	1.10835529	0	2.191456401	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
MIR1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094400849	1.096481421	0	2.19088227	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
GPT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109937433	0	0	0	0	0	0	0	0	0	0	1.080447551	0	0	2.190384984	TRANSCRIPTOMICS: Gong_32412065	
PI16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.08346966	0	0	2.189930465	TRANSCRIPTOMICS: Windhorst_37090732	
ANK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.084604794	1.105295465	0	2.189900258	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
LRBA	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	1.094975787	0	0	2.18897146	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
NKTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106833982	0	0	0	0	0	0	0	0	0	1.081604798	0	0	2.188438779	TRANSCRIPTOMICS: Luo_36514862_eqtl	
TERT	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	1.094172348	0	0	2.188168021	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
GPR183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.106460805	1.081000376	0	0	2.187461181	TRANSCRIPTOMICS: Windhorst_37090732	
TVP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090877512	1.096277781	0	2.187155293	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
EFHC1	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	1.092764488	0	0	2.186760161	TRANSCRIPTOMICS: Dai_34276789_data	
GPR141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.086882432	1.099317263	0	2.186199694	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
PTF1A	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	1.09189471	0	0	2.185890383	TRANSCRIPTOMICS: Dai_34276789_data	
WHAMM	0	0	0	0	0	0	0	0	0	0	0	1.062158394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.123263374	2.185421768	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
TNKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093921734	1.090961053	0	2.184882788	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
DOCK6	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	1.090825915	0	0	2.184821588	TRANSCRIPTOMICS: Dai_34276789_data	
RAB11FIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094798883	1.089857631	0	2.184656514	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PITPNC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093631779	0	0	0	0	0	0	1.090560559	0	0	2.184192339	TRANSCRIPTOMICS: Pietrzyk_24194948_down_day5	
ADAM8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094909448	1.088116103	0	2.183025551	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
DIP2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093110924	1.089486272	0	2.182597196	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
SNORA114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.090722721	1.091680309	0	2.18240303	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
HLA-C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.084995457	1.097343247	0	2.182338703	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day28	
LOC107984131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093752201	1.088548725	0	2.182300927	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
AGPAT4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0949979	1.087294769	0	2.182292668	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LINC01184	0	0	0	0	0	0	0	0	0	0	0	1.062158394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.120106261	2.182264655	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
CLDN14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094938932	1.08730416	0	2.182243091	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
GNA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094902077	1.087291419	0	2.182193496	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC105379383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094835738	1.087298717	0	2.182134455	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PALLD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094732544	1.087291149	0	2.182023693	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
GUCY2EP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09440822	1.087518529	0	2.181926749	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC107987245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09462935	1.087296851	0	2.1819262	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC105373611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094614608	1.087293509	0	2.181908117	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC112268009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094548269	1.087298023	0	2.181846292	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
NKX6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094474559	1.087338039	0	2.181812598	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PTPRN2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094496672	1.087298055	0	2.181794727	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LINC00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094459817	1.087318469	0	2.181778286	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PDGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094371365	1.087311669	0	2.181683034	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
FAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094349252	1.087291559	0	2.181640811	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
GNMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09433451	1.087299792	0	2.181634302	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
DDHD1	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087555415	0	2.181551088	TRANSCRIPTOMICS: Dai_34276789_data	
LOC107984673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09418709	1.087313902	0	2.181500992	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC101928953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093958589	1.087422588	0	2.181381177	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
TMEM91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094047041	1.087296149	0	2.18134319	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PDE8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094002815	1.087289729	0	2.181292544	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
MKKS	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087295089	0	2.181290762	TRANSCRIPTOMICS: Dai_34276789_data	
SPG7	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087294579	0	2.181290252	TRANSCRIPTOMICS: Dai_34276789_data	
CFD	0	0	0	0	0	0	0	0	0	0	0	0	1.093995673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.087290869	0	2.181286542	TRANSCRIPTOMICS: Dai_34276789_data	
MCMBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093936476	1.087297497	0	2.181233973	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
CACNA2D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093737459	1.087297732	0	2.181035191	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
RANBP9	0	0	0	0	0	0	0	0	0	0	0	1.062158394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.118741301	2.180899694	TRANSCRIPTOMICS: Yuon_chou_37507442_deg_day14	
SMG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093560555	1.087290259	0	2.180850814	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
ERICH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093531071	1.087291899	0	2.18082297	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
CHD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093508958	1.087292349	0	2.180801307	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
PPP2R5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093405764	1.087310689	0	2.180716453	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LINC01702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093383651	1.087300641	0	2.180684293	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
LOC101928473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.093346796	1.087298034	0	2.18064483	TRANSCRIPTOMICS: Yuon_chou_37507442_cpg_day14	
