Mouse Genes,Human Ortholog Symbol
Slc35d3,ENSG00000182747
Tub,ENSG00000166402
Atg101,ENSG00000123395
Ppp1r12b,ENSG00000077157
Lcmt2,ENSG00000168806
Luc7l3,ENSG00000108848
Rmdn3,ENSG00000137824
Pafah2,ENSG00000158006
Spty2d1,ENSG00000179119
Strap,ENSG00000023734
Ablim3,ENSG00000173210
Edc3,ENSG00000179151
Vps72,ENSG00000163159
Rnasek,ENSG00000219200
Snapc4,ENSG00000165684
Fam134a,ENSG00000144567
Fth1,ENSG00000167996
Thsd1,ENSG00000136114
Plekhm1,ENSG00000225190
Dlc1,ENSG00000164741
Cp,ENSG00000047457
Snx12,ENSG00000147164
Ppargc1b,ENSG00000155846
2310007B03Rik,ENSG00000172478
Dvl2,ENSG00000004975
Cog4,ENSG00000103051
2610020H08Rik,ENSG00000005189
Dock11,ENSG00000147251
Sfxn3,ENSG00000107819
Rhoc,ENSG00000155366
Nova1,ENSG00000139910
Oxa1l,ENSG00000155463
Bloc1s5,ENSG00000188428
Matn3,ENSG00000132031
Ccdc91,ENSG00000123106
Fadd,ENSG00000168040
Ddit4l,ENSG00000145358
Adipor2,ENSG00000006831
Rabggtb,ENSG00000137955
Rnf217,ENSG00000146373
Klc2,ENSG00000174996
Ednra,ENSG00000151617
Fam150a,ENSG00000196711
Zfp867,ENSG00000242852
Tsfm,ENSG00000123297
Dand5,ENSG00000179284
Higd1b,ENSG00000131097
Cnr2,ENSG00000188822
Gtf3c5,ENSG00000148308
Hykk,ENSG00000188266
1600002H07Rik,ENSG00000162062
Ache,ENSG00000087085
Vit,ENSG00000205221
Pde4c,ENSG00000105650
Ddx3x,ENSG00000215301
Zfp217,ENSG00000171940
Ripk2,ENSG00000104312
Hdac5,ENSG00000108840
Cdkl2,ENSG00000138769
Ylpm1,ENSG00000119596
Cpsf7,ENSG00000149532
Ercc2,ENSG00000104884
4930430F08Rik,ENSG00000133641
Dhrs4,ENSG00000157326
Cyb5rl,ENSG00000215883
Ccdc155,ENSG00000161609
Satb2,ENSG00000119042
Fam98b,ENSG00000171262
Tmem68,ENSG00000167904
Ophn1,ENSG00000079482
Cyb5r1,ENSG00000159348
Itgb2,ENSG00000160255
Btg1,ENSG00000133639
C2,ENSG00000129084
Calml3,ENSG00000178363
Rita1,ENSG00000139405
Gypa,ENSG00000250361
Slc6a15,ENSG00000072041
Tfpi2,ENSG00000105825
Nup107,ENSG00000111581
Zfp942,ENSG00000196378
Wnt5b,ENSG00000111186
Rpe,ENSG00000197713
Fam81a,ENSG00000157470
Rimkla,ENSG00000177181
Casp3,ENSG00000164305
Fam35a,ENSG00000122376
Ctsf,ENSG00000174080
Imp3,ENSG00000177971
Rbm25,ENSG00000119707
Vipas39,ENSG00000151445
Ptpn21,ENSG00000070778
Tulp4,ENSG00000130338
Rab3gap1,ENSG00000115839
Snapc3,ENSG00000164975
Ccl5,ENSG00000271503
Kcnma1,ENSG00000156113
Mis18bp1,ENSG00000129534
Ctbs,ENSG00000117151
Slfn3,ENSG00000172123
Tmem143,ENSG00000161558
Rhog,ENSG00000177105
Pdlim3,ENSG00000154553
1700112E06Rik,ENSG00000148655
Hlcs,ENSG00000159267
Tacc3,ENSG00000013810
Tyrobp,ENSG00000011600
Pafah1b1,ENSG00000007168
Slc39a1,ENSG00000143570
Tceanc,ENSG00000176896
Fam163b,ENSG00000196990
Ddt,ENSG00000099977
Trmu,ENSG00000100416
Rbm15,ENSG00000162775
Angpt2,ENSG00000091879
Cox8a,ENSG00000176340
Slc35b3,ENSG00000124786
Pxdc1,ENSG00000168994
Bpifb1,ENSG00000125999
Fam175b,ENSG00000165660
Tacr1,ENSG00000115353
Tmem260,ENSG00000070269
Wdr93,ENSG00000140527
Ffar2,ENSG00000126262
B3gnt7,ENSG00000156966
Eif2b3,ENSG00000070785
Nek3,ENSG00000136098
Cxx1b,ENSG00000134590
Lipt2,ENSG00000175536
Rpl28,ENSG00000108107
Proser2,ENSG00000148426
Fam174b,ENSG00000185442
Uap1l1,ENSG00000197355
9930104L06Rik,ENSG00000116922
Tbp,ENSG00000112592
Rfc1,ENSG00000035928
Mios,ENSG00000164654
Lsm3,ENSG00000170860
Coro7,ENSG00000262246
Pigu,ENSG00000101464
Impdh1,ENSG00000106348
Gatsl3,ENSG00000239282
Tmem42,ENSG00000169964
Apobec3,ENSG00000100298
Parg,ENSG00000227345
Gpr153,ENSG00000158292
Slc1a4,ENSG00000115902
Fam20c,ENSG00000177706
Stat3,ENSG00000168610
Plekhh1,ENSG00000054690
Actr2,ENSG00000138071
Syne2,ENSG00000054654
Il2ra,ENSG00000134460
Ccs,ENSG00000173992
Spag5,ENSG00000076382
Paox,ENSG00000148832
Nipsnap3b,ENSG00000136783
Gpr64,ENSG00000173698
Pappa2,ENSG00000116183
Cd1d1,ENSG00000158473
Syk,ENSG00000165025
Urod,ENSG00000126088
Slc10a5,ENSG00000253598
Pcolce2,ENSG00000163710
Aco2,ENSG00000100412
Gjc1,ENSG00000182963
Dmtf1,ENSG00000135164
Psme2b,ENSG00000100911
Stag1,ENSG00000118007
Pfkm,ENSG00000152556
Plekha7,ENSG00000166689
Sox17,ENSG00000164736
Dlgap5,ENSG00000126787
Usp21,ENSG00000143258
Irs2,ENSG00000185950
Syt17,ENSG00000103528
Fam89b,ENSG00000176973
Zc2hc1a,ENSG00000104427
Pfkfb2,ENSG00000123836
Apbb3,ENSG00000113108
Gmnn,ENSG00000112312
Akr1b10,ENSG00000198074
Pigg,ENSG00000174227
2310039H08Rik,ENSG00000221821
Sntg2,ENSG00000172554
Copg2,ENSG00000158623
Dynlt1b,ENSG00000146425
Rbm17,ENSG00000134453
Acvrl1,ENSG00000139567
Fam110b,ENSG00000169122
Dlgap4,ENSG00000080845
Arl11,ENSG00000152213
Gys1,ENSG00000104812
Gen1,ENSG00000178295
Fam189b,ENSG00000160767
Ccdc148,ENSG00000153237
Smim1,ENSG00000235169
Adsl,ENSG00000239900
4833420G17Rik,ENSG00000172244
Tmem65,ENSG00000164983
Wrnip1,ENSG00000124535
Rph3al,ENSG00000181031
Snx24,ENSG00000064652
Bivm,ENSG00000134897
Cdkn2c,ENSG00000123080
Slc29a1,ENSG00000112759
Dll4,ENSG00000128917
Ankrd50,ENSG00000151458
Ubac1,ENSG00000130560
Arf6,ENSG00000165527
Slmo1,ENSG00000141391
Shroom2,ENSG00000146950
1700007G11Rik,ENSG00000197826
Cyp7b1,ENSG00000172817
Fam19a1,ENSG00000183662
Cep85,ENSG00000130695
2310033P09Rik,ENSG00000143793
Cnst,ENSG00000162852
Ercc6l,ENSG00000186871
Sertad1,ENSG00000197019
Peg3,ENSG00000198300
Zc3h7a,ENSG00000122299
Tmem147,ENSG00000105677
Hrc,ENSG00000130528
Adprhl2,ENSG00000116863
Mid1,ENSG00000101871
Gpd1l,ENSG00000152642
Mb21d1,ENSG00000164430
Tbc1d12,ENSG00000108239
H2-Ke2,ENSG00000204220
Dpep2,ENSG00000167261
Crim1,ENSG00000150938
Tex2,ENSG00000136478
Trpc6,ENSG00000137672
Myo6,ENSG00000196586
Grb14,ENSG00000115290
Zcchc10,ENSG00000155329
Kri1,ENSG00000129347
Tia1,ENSG00000116001
Xbp1,ENSG00000100219
Pdss1,ENSG00000148459
Chchd4,ENSG00000163528
Il15ra,ENSG00000134470
Atp6v1h,ENSG00000047249
BC030867,ENSG00000125319
Arhgef28,ENSG00000214944
Hivep2,ENSG00000010818
Brd4,ENSG00000141867
Fam92a,ENSG00000188343
Syngr2,ENSG00000108639
Ccdc59,ENSG00000133773
Srsf3,ENSG00000112081
Echdc3,ENSG00000134463
Ssc5d,ENSG00000179954
Prpf40a,ENSG00000196504
Rnmtl1,ENSG00000171861
Ydjc,ENSG00000161179
Nhej1,ENSG00000187736
Filip1l,ENSG00000168386
Smpdl3b,ENSG00000130768
Qrsl1,ENSG00000130348
Eif4g3,ENSG00000075151
Rhbdl1,ENSG00000103269
Lpin2,ENSG00000101577
Tubgcp6,ENSG00000128159
Fam167b,ENSG00000183615
Cbx2,ENSG00000173894
Rcn2,ENSG00000117906
Actc1,ENSG00000159251
Thoc7,ENSG00000163634
Gne,ENSG00000159921
D930015E06Rik,ENSG00000121210
Pik3r6,ENSG00000276231
Atg16l2,ENSG00000168010
Diras2,ENSG00000165023
Col5a2,ENSG00000204262
Rbms1,ENSG00000153250
Cyb561a3,ENSG00000162144
Sftpd,ENSG00000133661
Fam64a,ENSG00000129195
Hmga1,ENSG00000137309
Ddah1,ENSG00000153904
Nfatc2,ENSG00000101096
Psmc6,ENSG00000100519
Wnk2,ENSG00000165238
Nkd1,ENSG00000140807
Polr2g,ENSG00000168002
Ms4a7,ENSG00000166927
Atp8b4,ENSG00000104043
Rfc5,ENSG00000111445
Fmo2,ENSG00000094963
Akap8,ENSG00000105127
Ndor1,ENSG00000188566
Cbfb,ENSG00000067955
Ccdc87,ENSG00000182791
Dph1,ENSG00000108963
Akr1b8,ENSG00000198074
Rnaseh2c,ENSG00000172922
Supt16,ENSG00000092201
Tab3,ENSG00000157625
Tpk1,ENSG00000196511
Dkc1,ENSG00000130826
Lxn,ENSG00000079257
Txlnb,ENSG00000164440
Grik4,ENSG00000149403
Ano3,ENSG00000134343
Stag3,ENSG00000066923
Smarca5,ENSG00000153147
Kcna5,ENSG00000130037
Arfgap1,ENSG00000101199
Lsm12,ENSG00000161654
Josd2,ENSG00000161677
Spag9,ENSG00000008294
Efna3,ENSG00000143590
Pea15a,ENSG00000162734
Pramef8,ENSG00000182330
Fbxo46,ENSG00000177051
Zfp746,ENSG00000181220
Vps37c,ENSG00000167987
Uckl1,ENSG00000198276
Smim13,ENSG00000224531
Klf7,ENSG00000118263
Fam195b,ENSG00000225663
Ncoa6,ENSG00000198646
Hgs,ENSG00000185359
Atp6v0b,ENSG00000117410
Rpp38,ENSG00000152464
Tmem60,ENSG00000135211
Serinc1,ENSG00000111897
Fam115c,ENSG00000170379
Ccdc84,ENSG00000186166
Sugt1,ENSG00000165416
Mmp23,ENSG00000189409
Otud6b,ENSG00000155100
Mpv17l2,ENSG00000254858
Lonrf3,ENSG00000175556
Gdf6,ENSG00000156466
8430419L09Rik,ENSG00000084444
Tcea1,ENSG00000187735
Gstk1,ENSG00000197448
Dhrs11,ENSG00000278535
Npdc1,ENSG00000107281
Ulk1,ENSG00000177169
Rfesd,ENSG00000175449
Eif5a,ENSG00000132507
Usp54,ENSG00000166348
Pirt,ENSG00000233670
Ctsh,ENSG00000103811
Pvrl1,ENSG00000110400
AI854703,ENSG00000284691
Stpg1,ENSG00000001460
Abl1,ENSG00000097007
Vps28,ENSG00000160948
Myo7a,ENSG00000137474
Artn,ENSG00000117407
Arnt2,ENSG00000172379
Lrba,ENSG00000198589
Abhd17c,ENSG00000136379
Npr2,ENSG00000159899
Dhodh,ENSG00000102967
Phtf1,ENSG00000116793
Kcnmb1,ENSG00000145936
Nt5dc2,ENSG00000168268
Vkorc1,ENSG00000167397
Ino80c,ENSG00000153391
Tchh,ENSG00000159450
Esr2,ENSG00000140009
Entpd1,ENSG00000138185
Chrm2,ENSG00000181072
Lonp1,ENSG00000196365
Tnni1,ENSG00000159173
2310047M10Rik,ENSG00000196544
Cubn,ENSG00000107611
Ptrh2,ENSG00000141378
Chid1,ENSG00000177830
Sptlc3,ENSG00000172296
Ankrd49,ENSG00000168876
Dusp16,ENSG00000111266
Pnkd,ENSG00000127838
Plk5,ENSG00000185988
Zfp688,ENSG00000229809
Rhoh,ENSG00000168421
Ccl20,ENSG00000115009
Apol11b,ENSG00000128284
Frmd6,ENSG00000139926
Chia1,ENSG00000134216
Ocrl,ENSG00000122126
Agr2,ENSG00000106541
Tomm34,ENSG00000025772
Arid5b,ENSG00000150347
Kcna6,ENSG00000151079
Malsu1,ENSG00000156928
Stard6,ENSG00000174448
Grhpr,ENSG00000137106
Abcg4,ENSG00000172350
Vps53,ENSG00000141252
Zfp113,ENSG00000228623
Gjc3,ENSG00000176402
Pelo,ENSG00000152684
Pmp22,ENSG00000109099
Mbd4,ENSG00000129071
Vim,ENSG00000026025
Ifitm3,ENSG00000142089
Zfp516,ENSG00000101493
Dpysl4,ENSG00000151640
Glo1,ENSG00000124767
Rnps1,ENSG00000205937
Tmem86a,ENSG00000151117
Gtf2ird1,ENSG00000006704
Casp1,ENSG00000137752
Copz2,ENSG00000005243
Gmeb1,ENSG00000162419
Apip,ENSG00000149089
Brd3,ENSG00000169925
Opa1,ENSG00000198836
3110040N11Rik,ENSG00000169609
Nifk,ENSG00000155438
Tctn1,ENSG00000204852
Trpm3,ENSG00000083067
Scn4a,ENSG00000007314
Fam76a,ENSG00000009780
Celsr2,ENSG00000143126
Atg2a,ENSG00000110046
Dpy19l2,ENSG00000177990
Txnrd2,ENSG00000184470
Rptn,ENSG00000215853
Polr3d,ENSG00000168495
Arhgap20,ENSG00000137727
Rapsn,ENSG00000165917
Crbn,ENSG00000113851
0610009O20Rik,ENSG00000081791
Uty,ENSG00000183878
Srp14,ENSG00000140319
Chmp4b,ENSG00000101421
Slc41a2,ENSG00000136052
Coq2,ENSG00000173085
Manbal,ENSG00000101363
Fam103a1,ENSG00000235272
Mmp17,ENSG00000198598
Ube2cbp,ENSG00000118420
Arv1,ENSG00000173409
Flt1,ENSG00000102755
Dbndd2,ENSG00000244274
Sema4c,ENSG00000168758
4833427G06Rik,ENSG00000183644
Ergic3,ENSG00000125991
Cdk10,ENSG00000185324
Shpk,ENSG00000197417
Fam114a1,ENSG00000197712
Gpc1,ENSG00000063660
6430706D22Rik,ENSG00000123485
Ppp1r16a,ENSG00000160972
Mpz,ENSG00000158887
Hip1r,ENSG00000130787
Scnm1,ENSG00000163156
Spats2l,ENSG00000196141
Tmem144,ENSG00000164124
Txndc11,ENSG00000153066
Fam173a,ENSG00000103254
Eefsec,ENSG00000132394
Reln,ENSG00000189056
Slc9a9,ENSG00000181804
Fam98a,ENSG00000119812
Edf1,ENSG00000107223
Map1b,ENSG00000131711
Hsp90b1,ENSG00000166598
Ube2s,ENSG00000108106
Acbd5,ENSG00000107897
C330018D20Rik,ENSG00000164241
Coa4,ENSG00000181924
Hmgcl,ENSG00000117305
Sar1a,ENSG00000079332
Snx30,ENSG00000148158
Sec14l1,ENSG00000129657
Rassf7,ENSG00000099849
Nrn1,ENSG00000124785
Dlg3,ENSG00000082458
Cep164,ENSG00000110274
Cnnm2,ENSG00000148842
Ptgis,ENSG00000124212
Tln2,ENSG00000171914
Upk3a,ENSG00000100373
Asic2,ENSG00000108684
Zkscan4,ENSG00000187626
Rnaset2a,ENSG00000026297
Ect2,ENSG00000114346
Cdc25a,ENSG00000164045
Dock1,ENSG00000150760
Hfe,ENSG00000010704
Tcp11l2,ENSG00000166046
Pcbp1,ENSG00000169564
Mrpl41,ENSG00000182154
Alb,ENSG00000163631
Mllt10,ENSG00000078403
Dhx36,ENSG00000174953
Prdx5,ENSG00000126432
Slc25a27,ENSG00000153291
Ddx1,ENSG00000079785
Nemf,ENSG00000165525
Arhgdib,ENSG00000111348
Sphkap,ENSG00000153820
Zkscan1,ENSG00000106261
Ptger4,ENSG00000171522
Zfp532,ENSG00000074657
Rbm47,ENSG00000163694
Sirpa,ENSG00000198053
Mtpap,ENSG00000107951
Agtpbp1,ENSG00000135049
Saal1,ENSG00000166788
Dmtn,ENSG00000158856
Iglon5,ENSG00000142549
Pdgfd,ENSG00000170962
Drg2,ENSG00000108591
Slc39a7,ENSG00000112473
Srsf4,ENSG00000116350
Med13l,ENSG00000123066
Dhx37,ENSG00000150990
Polr2m,ENSG00000255529
Acad12,ENSG00000111271
Nudt1,ENSG00000106268
Plin4,ENSG00000167676
Glce,ENSG00000138604
Nup210,ENSG00000132182
Ptgs2,ENSG00000073756
Cyb561d1,ENSG00000174151
Pkib,ENSG00000135549
Emc3,ENSG00000125037
Laptm5,ENSG00000162511
Aph1a,ENSG00000117362
Eps15,ENSG00000085832
Ankrd10,ENSG00000088448
Katna1,ENSG00000186625
Anxa5,ENSG00000164111
Abce1,ENSG00000164163
Lrrc3,ENSG00000160233
Ldlrad3,ENSG00000179241
Trappc11,ENSG00000168538
Eif4enif1,ENSG00000184708
Cutc,ENSG00000119929
6330419J24Rik,ENSG00000196972
Fuom,ENSG00000148803
Rab5c,ENSG00000108774
Nudt6,ENSG00000170917
Hp,ENSG00000091513
Dnajb6,ENSG00000105993
Rcn1,ENSG00000049449
2310003H01Rik,ENSG00000185504
Larp4b,ENSG00000107929
2410015M20Rik,ENSG00000174917
Itpk1,ENSG00000100605
Hyls1,ENSG00000198331
Lrwd1,ENSG00000161036
Plb1,ENSG00000163803
Gucy1b3,ENSG00000061918
Ggt7,ENSG00000131067
Alkbh7,ENSG00000125652
Stoml2,ENSG00000165283
Nif3l1,ENSG00000196290
Aoc3,ENSG00000131471
Prrg1,ENSG00000130962
Pds5b,ENSG00000083642
Ech1,ENSG00000104823
Odc1,ENSG00000115758
Lrrc71,ENSG00000160838
Uspl1,ENSG00000132952
Unc45a,ENSG00000140553
Rasgrp1,ENSG00000172575
Rad54b,ENSG00000197275
Lypla2,ENSG00000011009
Rassf6,ENSG00000169435
Fech,ENSG00000066926
Zdhhc2,ENSG00000104219
Plcl1,ENSG00000115896
Myo18a,ENSG00000196535
Mpp1,ENSG00000130830
Dctn3,ENSG00000137100
Tradd,ENSG00000102871
Rps6ka5,ENSG00000100784
Pcdhb17,ENSG00000272674
Meox1,ENSG00000005102
H2-DMb2,ENSG00000242574
Dpt,ENSG00000143196
Tspyl5,ENSG00000180543
Il12rb2,ENSG00000081985
Bnip2,ENSG00000140299
Kif20a,ENSG00000112984
Exoc3l,ENSG00000179044
Zfp518b,ENSG00000178163
Zcchc2,ENSG00000141664
Foxa1,ENSG00000129514
Fert2,ENSG00000151422
Chtf18,ENSG00000127586
Bnip3l,ENSG00000104765
Tinf2,ENSG00000092330
Irf2bpl,ENSG00000119669
Ppfibp2,ENSG00000166387
Top1,ENSG00000198900
Slc5a1,ENSG00000100170
Nsg1,ENSG00000168824
Patl1,ENSG00000166889
C330007P06Rik,ENSG00000018610
Bcan,ENSG00000132692
Slc46a3,ENSG00000139508
Gpr179,ENSG00000277399
Pgs1,ENSG00000087157
Athl1,ENSG00000142102
Slc7a5,ENSG00000103257
Rnf130,ENSG00000113269
Foxp1,ENSG00000114861
Usp14,ENSG00000101557
Rnf44,ENSG00000146083
Yeats4,ENSG00000127337
1110057K04Rik,ENSG00000118961
Mfap5,ENSG00000197614
Thumpd2,ENSG00000138050
Dennd3,ENSG00000105339
Rwdd2b,ENSG00000156253
Ifit1,ENSG00000204010
Ndrg2,ENSG00000165795
Med6,ENSG00000133997
Ppic,ENSG00000168938
Zik1,ENSG00000171649
Ino80e,ENSG00000169592
Apba1,ENSG00000107282
Atl3,ENSG00000184743
Ppm1f,ENSG00000100034
Desi1,ENSG00000100418
Lmna,ENSG00000160789
Fam188a,ENSG00000148481
Gcc1,ENSG00000179562
Rps16,ENSG00000105193
Kazn,ENSG00000189337
Scgb1c1,ENSG00000188076
Osbpl3,ENSG00000070882
R3hcc1,ENSG00000104679
1600002K03Rik,ENSG00000228300
Rpp21,ENSG00000241370
Mtch2,ENSG00000109919
Ell,ENSG00000105656
Atxn7l3,ENSG00000087152
Ranbp6,ENSG00000137040
Fkrp,ENSG00000181027
Efhb,ENSG00000163576
Eri2,ENSG00000196678
Mlh1,ENSG00000076242
Clasrp,ENSG00000104859
Kcne1l,ENSG00000176076
Cdca5,ENSG00000146670
Scai,ENSG00000173611
Rbm33,ENSG00000184863
Prps1l3,ENSG00000147224
Grcc10,ENSG00000111678
Mapre2,ENSG00000166974
Hspa5,ENSG00000044574
Eif1a,ENSG00000173674
Pola1,ENSG00000101868
Taf3,ENSG00000165632
Tmem2,ENSG00000135048
Ovgp1,ENSG00000085465
Cystm1,ENSG00000120306
Kdelc2,ENSG00000178202
Rnaset2b,ENSG00000026297
Stk10,ENSG00000072786
Mtss1,ENSG00000170873
Acsf3,ENSG00000176715
Pura,ENSG00000185129
Fdxacb1,ENSG00000255561
Col11a2,ENSG00000204248
Vwf,ENSG00000110799
Wdr83os,ENSG00000105583
Taf11,ENSG00000249156
Gng2,ENSG00000186469
Atpaf1,ENSG00000123472
Fubp1,ENSG00000162613
Mafg,ENSG00000197063
Lyrm1,ENSG00000102897
Oas1g,ENSG00000089127
Pepd,ENSG00000124299
Maml1,ENSG00000161021
Tbc1d13,ENSG00000107021
Coro1c,ENSG00000110880
G3bp2,ENSG00000138757
Nuak1,ENSG00000074590
Doc2b,ENSG00000272636
Nap1l4,ENSG00000205531
Ctsz,ENSG00000101160
Tbc1d10c,ENSG00000175463
Coro1a,ENSG00000102879
Fam69b,ENSG00000165716
Aen,ENSG00000181026
Nxnl2,ENSG00000130045
2700089E24Rik,ENSG00000256537
Usp46,ENSG00000109189
Prdx3,ENSG00000165672
Itgb7,ENSG00000139626
Tada2a,ENSG00000276234
Rab7l1,ENSG00000117280
Thoc3,ENSG00000051596
Arl1,ENSG00000120805
Scube1,ENSG00000159307
Sin3b,ENSG00000127511
Kcnj12,ENSG00000184185
Il11,ENSG00000095752
Snx31,ENSG00000174226
Lrrc8e,ENSG00000171017
Mis18a,ENSG00000159055
Glb1l,ENSG00000163521
Homer2,ENSG00000103942
Vti1a,ENSG00000151532
Zfp628,ENSG00000197483
Taf2,ENSG00000064313
Pls1,ENSG00000120756
Fam189a2,ENSG00000135063
Sp1,ENSG00000185591
Tbc1d25,ENSG00000068354
Cep72,ENSG00000112877
Helb,ENSG00000127311
Cd209a,ENSG00000090659
Fnbp1l,ENSG00000137942
Parp2,ENSG00000129484
Gsk3a,ENSG00000105723
Pdia3,ENSG00000167004
Plch1,ENSG00000114805
Mrps18a,ENSG00000096080
Ddx26b,ENSG00000165359
Etfa,ENSG00000140374
Scfd1,ENSG00000092108
Ccl11,ENSG00000172156
2810006K23Rik,ENSG00000130921
Clip4,ENSG00000115295
Fgfr1op,ENSG00000213066
Nme2,ENSG00000243678
Vps52,ENSG00000223501
Hpcal4,ENSG00000116983
Smurf1,ENSG00000198742
Triqk,ENSG00000205133
Lrp3,ENSG00000130881
Efna4,ENSG00000243364
Cchcr1,ENSG00000204536
Setd2,ENSG00000181555
Ndufc1,ENSG00000109390
Ppapdc3,ENSG00000160539
Mrpl40,ENSG00000185608
Wdr43,ENSG00000163811
Tmco6,ENSG00000113119
Tsc22d3,ENSG00000157514
Sowahc,ENSG00000198142
Heg1,ENSG00000173706
Jph2,ENSG00000149596
Cox5b,ENSG00000135940
Erich1,ENSG00000104714
Mfsd5,ENSG00000182544
Adcy6,ENSG00000174233
Fhod1,ENSG00000135723
Spata7,ENSG00000042317
Mtf1,ENSG00000188786
Tmc8,ENSG00000167895
Cspg4,ENSG00000173546
Zbtb40,ENSG00000184677
Srpk3,ENSG00000184343
Alox8,ENSG00000179593
Sirt7,ENSG00000187531
Spata1,ENSG00000122432
4930503L19Rik,ENSG00000166845
Slc5a12,ENSG00000148942
Slc11a2,ENSG00000110911
Mipep,ENSG00000027001
Lair1,ENSG00000167613
Haus1,ENSG00000152240
Cryzl1,ENSG00000205758
Col3a1,ENSG00000168542
Cul5,ENSG00000166266
Pex3,ENSG00000189186
Slc23a1,ENSG00000089057
Scn5a,ENSG00000183873
Mki67,ENSG00000148773
Cand2,ENSG00000144712
Sdc2,ENSG00000169439
Nek10,ENSG00000163491
Ppt1,ENSG00000131238
Bag2,ENSG00000112208
Ttc7,ENSG00000068724
Tmem44,ENSG00000145014
Slc22a17,ENSG00000092096
Trio,ENSG00000038382
Bbs10,ENSG00000179941
Daam1,ENSG00000100592
Tgm4,ENSG00000163810
Rxrg,ENSG00000143171
Rtn4rl1,ENSG00000185924
Prkx,ENSG00000183943
Zfp458,ENSG00000213799
Flnc,ENSG00000128591
Fcrl1,ENSG00000132185
Sirpb1b,ENSG00000101307
Tstd2,ENSG00000136925
Selenbp1,ENSG00000143416
Lhfpl4,ENSG00000156959
Srpx2,ENSG00000102359
Prr24,ENSG00000257704
Gja4,ENSG00000187513
Rin3,ENSG00000100599
Il17rc,ENSG00000163702
Fam169a,ENSG00000198780
Rsu1,ENSG00000148484
9030025P20Rik,ENSG00000130023
Gba2,ENSG00000070610
Ppm1j,ENSG00000155367
Ccnb2,ENSG00000157456
Wdr6,ENSG00000178252
Gm4944,ENSG00000196378
Tacstd2,ENSG00000184292
Cstb,ENSG00000160213
Irf5,ENSG00000128604
Cnppd1,ENSG00000115649
Dolpp1,ENSG00000167130
4931406C07Rik,ENSG00000182919
Polr2i,ENSG00000105258
Fzd8,ENSG00000177283
D5Ertd579e,ENSG00000170871
Snx20,ENSG00000167208
Chil4,ENSG00000134216
Chd1l,ENSG00000131778
4930529M08Rik,ENSG00000089101
Twist1,ENSG00000122691
Keap1,ENSG00000079999
Hk3,ENSG00000160883
Snx3,ENSG00000112335
Ppox,ENSG00000143224
8430427H17Rik,ENSG00000197183
Esrrg,ENSG00000196482
Tmem164,ENSG00000157600
Cxx1a,ENSG00000134590
Fut4,ENSG00000196371
Eif4b,ENSG00000063046
Bicd2,ENSG00000185963
Ranbp2,ENSG00000153201
Coa5,ENSG00000183513
Copb1,ENSG00000129083
Dgkq,ENSG00000145214
Wee1,ENSG00000166483
Cyp4f17,ENSG00000186526
Pcdhb5,ENSG00000081818
Pold1,ENSG00000062822
Tmed10,ENSG00000170348
Cd74,ENSG00000019582
Cytip,ENSG00000115165
Anln,ENSG00000011426
Dlk1,ENSG00000185559
Tspan12,ENSG00000106025
Mfsd7b,ENSG00000162769
Sclt1,ENSG00000151466
Rragc,ENSG00000116954
Thtpa,ENSG00000259431
Abcc4,ENSG00000125257
Ttc38,ENSG00000075234
Mmachc,ENSG00000132763
Ghitm,ENSG00000165678
Hepacam,ENSG00000165478
Gzf1,ENSG00000125812
Phkb,ENSG00000102893
Hcn4,ENSG00000138622
Slc25a4,ENSG00000151729
Rasgrp2,ENSG00000068831
Plcb4,ENSG00000101333
Tmem123,ENSG00000152558
Grhl3,ENSG00000158055
Arl6,ENSG00000113966
Mapk7,ENSG00000166484
Itgb3bp,ENSG00000142856
Tbl2,ENSG00000106638
Nudt17,ENSG00000186364
Mak16,ENSG00000198042
Ccdc64b,ENSG00000162069
Nop16,ENSG00000048162
Slc7a10,ENSG00000130876
Prickle2,ENSG00000163637
Hypk,ENSG00000242028
Aldh1a2,ENSG00000128918
Rgs6,ENSG00000182732
Ndfip2,ENSG00000102471
Gmps,ENSG00000163655
Stk32a,ENSG00000169302
C2cd2,ENSG00000157617
Cyp4f18,ENSG00000186529
Ssu72,ENSG00000160075
Col8a1,ENSG00000144810
Ifi30,ENSG00000216490
Smtnl2,ENSG00000188176
Otud1,ENSG00000165312
Sema3e,ENSG00000170381
Plxdc2,ENSG00000120594
Nmral1,ENSG00000153406
Rnf39,ENSG00000204618
Pls3,ENSG00000102024
Optn,ENSG00000123240
Ramp2,ENSG00000131477
Tulp3,ENSG00000078246
Sgip1,ENSG00000118473
Scnn1a,ENSG00000111319
Nfu1,ENSG00000169599
Cript,ENSG00000119878
Pm20d1,ENSG00000162877
Ndufa12,ENSG00000184752
Hsd17b7,ENSG00000132196
Ptger2,ENSG00000125384
Ttc39c,ENSG00000168234
Itsn1,ENSG00000205726
Hsd17b12,ENSG00000149084
Cyp3a13,ENSG00000160868
Ramp1,ENSG00000132329
Slc39a13,ENSG00000165915
Bnipl,ENSG00000163141
Gm14685,ENSG00000278803
Hoxb2,ENSG00000173917
Adrb3,ENSG00000188778
Osr1,ENSG00000143867
Hipk1,ENSG00000163349
Chst15,ENSG00000182022
Fam65c,ENSG00000042062
Naa40,ENSG00000110583
Diap1,ENSG00000131504
Nop2,ENSG00000111641
