Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Eif5a,Hivep2,ENSG00000010818
Usp54,Echdc3,ENSG00000134463
Pirt,Ccdc59,ENSG00000133773
Ctsh,Rnmtl1,ENSG00000171861
Pvrl1,Arhgef28,ENSG00000214944
2500004C02Rik,Prpf40a,ENSG00000196504
AI854703,Ydjc,ENSG00000161179
Stpg1,Smpdl3b,ENSG00000130768
Abl1,Rhbdl1,ENSG00000103269
Vps28,Qrsl1,ENSG00000130348
Myo7a,Nhej1,ENSG00000187736
Artn,Gm11541,not found
Arnt2,Eif4g3,ENSG00000075151
Lrba,Filip1l,ENSG00000168386
Abhd17c,Srsf3,ENSG00000112081
Npr2,Syngr2,ENSG00000108639
Dhodh,Actc1,ENSG00000159251
Phtf1,Rcn2,ENSG00000117906
Kcnmb1,Lpin2,ENSG00000101577
Nt5dc2,Cbx2,ENSG00000173894
Vkorc1,Thoc7,ENSG00000163634
Ino80c,A730020E08Rik,not found
Tchh,Gne,ENSG00000159921
Esr2,Ssc5d,ENSG00000179954
Gm14305,Diras2,ENSG00000165023
Entpd1,Pik3r6,ENSG00000276231
Chrm2,Atg16l2,ENSG00000168010
Lonp1,Sftpd,ENSG00000133661
Tnni1,Cyb561a3,ENSG00000162144
2310047M10Rik,Fam167b,ENSG00000183615
Cubn,Hmga1,ENSG00000137309
Ptrh2,Fam64a,ENSG00000129195
Chid1,Tubgcp6,ENSG00000128159
Sptlc3,D930015E06Rik,ENSG00000121210
Ankrd49,Ddah1,ENSG00000153904
Dusp16,Col5a2,ENSG00000204262
Pnkd,Rbms1,ENSG00000153250
Plk5,Ms4a7,ENSG00000166927
Zfp688,Psmc6,ENSG00000100519
Rhoh,Fmo2,ENSG00000094963
Ccl20,Akap8,ENSG00000105127
R74862,Polr2g,ENSG00000168002
Apol11b,Nkd1,ENSG00000140807
Frmd6,Rfc5,ENSG00000111445
Chia1,Cbfb,ENSG00000067955
Ocrl,Nfatc2,ENSG00000101096
Agr2,Atp8b4,ENSG00000104043
Tomm34,Akr1b8,ENSG00000198074
Arid5b,Rnaseh2c,ENSG00000172922
Kcna6,4930481A15Rik,not found
Malsu1,Wnk2,ENSG00000165238
Stard6,Dph1,ENSG00000108963
Grhpr,Ndor1,ENSG00000188566
Abcg4,Supt16,ENSG00000092201
Wbp11,Tpk1,ENSG00000196511
Vps53,Ccdc87,ENSG00000182791
Zfp113,Lxn,ENSG00000079257
Gjc3,Dkc1,ENSG00000130826
Pelo,Txlnb,ENSG00000164440
Pmp22,Stag3,ENSG00000066923
Mbd4,Grik4,ENSG00000149403
Vim,Arfgap1,ENSG00000101199
Ifitm3,Ano3,ENSG00000134343
Zfp516,Tab3,ENSG00000157625
Dpysl4,Kcna5,ENSG00000130037
Glo1,1810014B01Rik,not found
Rnps1,Smarca5,ENSG00000153147
Tmem86a,Tmsb10,not found
Gtf2ird1,Josd2,ENSG00000161677
Casp1,Pea15a,ENSG00000162734
Copz2,Efna3,ENSG00000143590
Gmeb1,Zfp746,ENSG00000181220
Apip,Lsm12,ENSG00000161654
Brd3,Fbxo46,ENSG00000177051
D630024D03Rik,Smim13,ENSG00000224531
Opa1,Spag9,ENSG00000008294
1600020E01Rik,Fam195b,ENSG00000225663
3110040N11Rik,Uckl1,ENSG00000198276
Nifk,Vps37c,ENSG00000167987
Tctn1,Klf7,ENSG00000118263
Trpm3,Tmem60,ENSG00000135211
Scn4a,Atp6v0b,ENSG00000117410
Fam76a,Hgs,ENSG00000185359
Celsr2,Ncoa6,ENSG00000198646
Atg2a,Rpp38,ENSG00000152464
Dpy19l2,Serinc1,ENSG00000111897
Txnrd2,Pramef8,ENSG00000204501
Rptn,Pramef8,ENSG00000204505
Polr3d,Pramef8,ENSG00000280267
Arhgap20,Pramef8,ENSG00000120952
Rapsn,Pramef8,ENSG00000279169
Crbn,Pramef8,ENSG00000182330
0610009O20Rik,Pramef8,ENSG00000229571
Uty,Pramef8,ENSG00000243073
Srp14,Pramef8,ENSG00000204510
Chmp4b,Pramef8,ENSG00000274764
Slc41a2,Pramef8,ENSG00000270601
Coq2,Pramef8,ENSG00000279804
Manbal,Pramef8,ENSG00000116726
Fam103a1,Pramef8,ENSG00000204478
Mmp17,Pramef8,ENSG00000187545
Ube2cbp,Pramef8,ENSG00000116721
Arv1,Pramef8,ENSG00000239810
Srek1,Pramef8,ENSG00000232423
Flt1,Pramef8,ENSG00000204481
Dbndd2,Pramef8,ENSG00000204480
Sema4c,Pramef8,ENSG00000237700
4833427G06Rik,Pramef8,ENSG00000204479
Ergic3,Ccdc84,ENSG00000186166
Cdk10,Zfp40,not found
Shpk,Sugt1,ENSG00000165416
Fam114a1,Mmp23,ENSG00000189409
Gpc1,Otud6b,ENSG00000155100
6430706D22Rik,Mpv17l2,ENSG00000254858
Ppp1r16a,Spcs3,not found
Mpz,Gdf6,ENSG00000156466
Hip1r,Zfp719,not found
Scnm1,Fam115c,ENSG00000170379
Spats2l,Fam115c,ENSG00000283528
Tmem144,8430419L09Rik,ENSG00000084444
Txndc11,Lonrf3,ENSG00000175556
Fam173a,Dhrs11,ENSG00000278535
Eefsec,Gstk1,ENSG00000197448
Reln,Gm17762,error - retries exceeded
Slc9a9,Tcea1,ENSG00000187735
Fam98a,Pirt,ENSG00000233670
A330076H08Rik,Eif5a,ENSG00000253626
Edf1,Eif5a,ENSG00000132507
Map1b,A530013C23Rik,not found
Hsp90b1,Ctsh,ENSG00000103811
Ube2s,Ulk1,ENSG00000177169
Acbd5,Rfesd,ENSG00000175449
C330018D20Rik,AI854703,ENSG00000284691
Coa4,Npdc1,ENSG00000107281
Hmgcl,2500004C02Rik,not found
Sar1a,Stpg1,ENSG00000001460
Snx30,Vps28,ENSG00000160948
Sec14l1,Pvrl1,ENSG00000110400
Rassf7,Abl1,ENSG00000097007
Nrn1,Usp54,ENSG00000166348
Dlg3,Artn,ENSG00000117407
Cep164,Abhd17c,ENSG00000136379
Cnnm2,Dhodh,ENSG00000102967
Ptgis,Phtf1,ENSG00000116793
Tln2,Nt5dc2,ENSG00000168268
Upk3a,Arnt2,ENSG00000172379
Asic2,Vkorc1,ENSG00000167397
Zkscan4,Lrba,ENSG00000198589
Rnaset2a,Tchh,ENSG00000159450
Ect2,Gm14305,not found
Cdc25a,Kcnmb1,ENSG00000145936
Dock1,LOC101056043,error - retries exceeded
Hfe,Ino80c,ENSG00000153391
Tcp11l2,Myo7a,ENSG00000137474
Pcbp1,Npr2,ENSG00000159899
Mrpl41,Entpd1,ENSG00000138185
Alb,Esr2,ENSG00000140009
Mllt10,Lonp1,ENSG00000196365
Dhx36,Tnni1,ENSG00000159173
Prdx5,Chrm2,ENSG00000181072
Slc25a27,Ptrh2,ENSG00000141378
Ddx1,Plk5,ENSG00000185988
Nemf,Chid1,ENSG00000177830
Arhgdib,Pnkd,ENSG00000127838
Sphkap,Sptlc3,ENSG00000172296
Zkscan1,Ccl20,ENSG00000115009
Ptger4,Cubn,ENSG00000107611
Zfp532,Ankrd49,ENSG00000168876
Akr1c13,Dusp16,ENSG00000111266
Rbm47,2310047M10Rik,ENSG00000196544
Sirpa,Apol11b,ENSG00000100342
Mtpap,Apol11b,ENSG00000100336
Agtpbp1,Apol11b,ENSG00000128284
Saal1,Apol11b,ENSG00000128335
Dmtn,Chia1,ENSG00000134216
Iglon5,Frmd6,ENSG00000139926
Pdgfd,Agr2,ENSG00000106541
Drg2,Rhoh,ENSG00000168421
Slc39a7,Arid5b,ENSG00000150347
Srsf4,Kcna6,ENSG00000151079
Med13l,Wbp11,not found
Dhx37,Tomm34,ENSG00000025772
Polr2m,Ocrl,ENSG00000122126
Acad12,Malsu1,ENSG00000156928
Nudt1,Stard6,ENSG00000174448
Plin4,R74862,not found
Glce,Grhpr,ENSG00000137106
Nup210,Gjc3,ENSG00000176402
Ptgs2,Zfp113,ENSG00000228623
Cyb561d1,Zfp688,ENSG00000229809
Pkib,Pelo,ENSG00000152684
Emc3,Vps53,ENSG00000141252
Laptm5,Ifitm3,ENSG00000185201
Aph1a,Ifitm3,ENSG00000185885
Eps15,Ifitm3,ENSG00000142089
Ankrd10,Vim,ENSG00000026025
Katna1,Mbd4,ENSG00000129071
Anxa5,Tmem86a,ENSG00000151117
2310015A10Rik,Rnps1,ENSG00000205937
Abce1,Glo1,ENSG00000124767
Lrrc3,Abcg4,ENSG00000172350
Ldlrad3,Copz2,ENSG00000005243
Trappc11,D630024D03Rik,not found
Eif4enif1,Pmp22,ENSG00000109099
Cutc,Gtf2ird1,ENSG00000006704
Msl3l2,Zfp516,ENSG00000101493
6330419J24Rik,Dpysl4,ENSG00000151640
Fuom,Apip,ENSG00000149089
Rab5c,3110040N11Rik,ENSG00000169609
Nudt6,Casp1,ENSG00000137752
Hp,Casp1,ENSG00000204397
Dnajb6,Gmeb1,ENSG00000162419
Rcn1,1600020E01Rik,not found
2310003H01Rik,Opa1,ENSG00000198836
Larp4b,Brd3,ENSG00000169925
2410015M20Rik,Fam76a,ENSG00000009780
Itpk1,Nifk,ENSG00000155438
Hyls1,Scn4a,ENSG00000007314
Lrwd1,Tctn1,ENSG00000204852
Plb1,Rptn,ENSG00000215853
Gucy1b3,Trpm3,ENSG00000083067
D030028A08Rik,Dpy19l2,ENSG00000177990
Ggt7,Atg2a,ENSG00000110046
Alkbh7,Txnrd2,ENSG00000184470
Stoml2,Polr3d,ENSG00000168495
Nif3l1,Celsr2,ENSG00000143126
Aoc3,Crbn,ENSG00000113851
Prrg1,Rapsn,ENSG00000165917
Fam169b,Srp14,ENSG00000140319
Pds5b,Fam103a1,ENSG00000169612
Ech1,Fam103a1,ENSG00000235272
Odc1,Uty,ENSG00000183878
Lrrc71,Coq2,ENSG00000173085
Uspl1,Chmp4b,ENSG00000101421
Unc45a,Manbal,ENSG00000101363
Rasgrp1,Srek1,not found
Rad54b,Mmp17,ENSG00000198598
Lypla2,0610009O20Rik,ENSG00000081791
2700099C18Rik,Arv1,ENSG00000173409
Rassf6,4833427G06Rik,ENSG00000183644
Rpl37,Slc41a2,ENSG00000136052
Fech,Arhgap20,ENSG00000137727
Zdhhc2,Dbndd2,ENSG00000244274
Plcl1,Ube2cbp,ENSG00000118420
Myo18a,Flt1,ENSG00000102755
B430010I23Rik,6430706D22Rik,ENSG00000123485
Mpp1,Cdk10,ENSG00000185324
Dctn3,Ergic3,ENSG00000125991
Tradd,Sema4c,ENSG00000168758
Rps6ka5,Fam114a1,ENSG00000197712
Pcdhb17,Ppp1r16a,ENSG00000160972
Meox1,Scnm1,ENSG00000163156
H2-DMb2,Gpc1,ENSG00000063660
Dpt,Mpz,ENSG00000158887
Tspyl5,Spats2l,ENSG00000196141
Tmem167b,A330076H08Rik,not found
Il12rb2,Fam173a,ENSG00000103254
Bnip2,Shpk,ENSG00000197417
Sep-11,Tmem144,ENSG00000164124
Kif20a,Txndc11,ENSG00000153066
Exoc3l,Edf1,ENSG00000107223
Zfp518b,Fam98a,ENSG00000119812
Zcchc2,Slc9a9,ENSG00000181804
Foxa1,Hip1r,ENSG00000130787
Fert2,Eefsec,ENSG00000132394
Chtf18,Hsp90b1,ENSG00000166598
Bnip3l,C330018D20Rik,ENSG00000164241
AW011738,Hmgcl,ENSG00000117305
Tinf2,Coa4,ENSG00000181924
Irf2bpl,Ube2s,ENSG00000108106
Ppfibp2,Reln,ENSG00000189056
Top1,Map1b,ENSG00000131711
Slc5a1,Snx30,ENSG00000148158
Nsg1,Sar1a,ENSG00000079332
Patl1,Sec14l1,ENSG00000129657
C330007P06Rik,Upk3a,ENSG00000100373
Bcan,Rassf7,ENSG00000099849
4930414L22Rik,Dlg3,ENSG00000082458
Slc46a3,Cep164,ENSG00000110274
Zfp707,Acbd5,ENSG00000107897
Gm3230,Ptgis,ENSG00000124212
Gpr179,Cnnm2,ENSG00000148842
Pgs1,Nrn1,ENSG00000124785
Athl1,Hfe,ENSG00000010704
Slc7a5,Asic2,ENSG00000108684
Rnf130,Pcbp1,ENSG00000169564
Foxp1,Zkscan4,ENSG00000187626
Usp14,Cdc25a,ENSG00000164045
Rnf44,Rnaset2a,ENSG00000026297
Yeats4,Tln2,ENSG00000171914
1110057K04Rik,Alb,ENSG00000163631
Mfap5,Tcp11l2,ENSG00000166046
Thumpd2,Prdx5,ENSG00000126432
Dennd3,Slc25a27,ENSG00000153291
Rwdd2b,Arhgdib,ENSG00000111348
Ifit1,Mrpl41,ENSG00000182154
Ndrg2,Ect2,ENSG00000114346
Med6,Zkscan1,ENSG00000106261
Ppic,Mllt10,ENSG00000078403
Zik1,Dhx36,ENSG00000174953
Ino80e,Dock1,ENSG00000150760
Apba1,Ddx1,ENSG00000079785
Atl3,Akr1c13,not found
Ppm1f,Sphkap,ENSG00000153820
Desi1,Saal1,ENSG00000166788
Lmna,Mtpap,ENSG00000107951
4930511M06Rik,Sirpa,ENSG00000101307
Fam188a,Sirpa,ENSG00000198053
Gcc1,Sirpa,ENSG00000089012
Rps16,Ptger4,ENSG00000171522
Kazn,Nemf,ENSG00000165525
Scgb1c1,Rbm47,ENSG00000163694
Osbpl3,Dmtn,ENSG00000158856
R3hcc1,Drg2,ENSG00000108591
1600002K03Rik,Zfp532,ENSG00000074657
Rpp21,Slc39a7,ENSG00000112473
Gm10033,Agtpbp1,ENSG00000135049
Mtch2,Srsf4,ENSG00000116350
Ell,Med13l,ENSG00000123066
2610027K06Rik,Polr2m,ENSG00000255529
Atxn7l3,Iglon5,ENSG00000142549
Zfp708,Dhx37,ENSG00000150990
Ranbp6,Nudt1,ENSG00000106268
Fkrp,Ptgs2,ENSG00000073756
Efhb,Pkib,ENSG00000135549
Eri2,Acad12,ENSG00000111271
Mlh1,Nup210,ENSG00000132182
Clasrp,Cyb561d1,ENSG00000174151
Kcne1l,Pdgfd,ENSG00000170962
Cdca5,2310015A10Rik,not found
Scai,Glce,ENSG00000138604
Rbm33,Plin4,ENSG00000167676
Prps1l3,Laptm5,ENSG00000162511
Grcc10,Emc3,ENSG00000125037
Mapre2,Aph1a,ENSG00000117362
Arpp19,Ankrd10,ENSG00000088448
Hspa5,Abce1,ENSG00000164163
Eif1a,Ldlrad3,ENSG00000179241
Pola1,Katna1,ENSG00000186625
Taf3,Lrrc3,ENSG00000160233
Tmem2,Anxa5,ENSG00000164111
B130024G19Rik,Eps15,ENSG00000085832
Ovgp1,Cutc,ENSG00000119929
Cystm1,6330419J24Rik,ENSG00000178947
Kdelc2,6330419J24Rik,ENSG00000196972
Rnaset2b,Trappc11,ENSG00000168538
Stk10,Fuom,ENSG00000148803
Mtss1,Eif4enif1,ENSG00000184708
Acsf3,Msl3l2,not found
Pura,Rab5c,ENSG00000108774
Fdxacb1,Dnajb6,ENSG00000105993
Col11a2,Hp,ENSG00000091513
Vwf,Nudt6,ENSG00000170917
Wdr83os,2310003H01Rik,ENSG00000185504
Taf11,Gucy1b3,ENSG00000061918
Gng2,Hyls1,ENSG00000198331
Atpaf1,2410015M20Rik,ENSG00000174917
Fubp1,Itpk1,ENSG00000100605
Mafg,Lrwd1,ENSG00000161036
Lyrm1,Rcn1,ENSG00000049449
Oas1g,Ggt7,ENSG00000131067
Pepd,Alkbh7,ENSG00000125652
Maml1,Plb1,ENSG00000163803
Tbc1d13,D030028A08Rik,not found
Coro1c,Larp4b,ENSG00000107929
G3bp2,Stoml2,ENSG00000165283
Nuak1,Nif3l1,ENSG00000196290
Doc2b,Prrg1,ENSG00000130962
Nap1l4,Fam169b,not found
Ctsz,Ech1,ENSG00000104823
Rpl7a,2700099C18Rik,not found
Tbc1d10c,Aoc3,ENSG00000131471
Mt2,Lrrc71,ENSG00000160838
Zfp935,Lypla2,ENSG00000011009
Coro1a,Uspl1,ENSG00000132952
Gm6623,Unc45a,ENSG00000140553
Fam69b,Rad54b,ENSG00000197275
Aen,Odc1,ENSG00000115758
Nxnl2,Rassf6,ENSG00000169435
2700089E24Rik,Pds5b,ENSG00000083642
Usp46,Rpl37,not found
Prdx3,Rasgrp1,ENSG00000172575
Itgb7,Fech,ENSG00000066926
Gm10638,B430010I23Rik,not found
Tada2a,Zdhhc2,ENSG00000104219
Rab7l1,Dctn3,ENSG00000137100
Thoc3,H2-DMb2,ENSG00000242574
Arl1,Tmem167b,not found
Scube1,Mpp1,ENSG00000130830
Sin3b,Tradd,ENSG00000102871
Kcnj12,Plcl1,ENSG00000115896
Il11,Meox1,ENSG00000005102
Snx31,Pcdhb17,ENSG00000272674
Lrrc8e,Dpt,ENSG00000143196
Mis18a,Rps6ka5,ENSG00000100784
Glb1l,Il12rb2,ENSG00000081985
Homer2,Tspyl5,ENSG00000180543
Vti1a,Bnip2,ENSG00000140299
Zfp628,Foxa1,ENSG00000129514
Taf2,AW011738,not found
Pls1,Kif20a,ENSG00000112984
Fam189a2,Myo18a,ENSG00000196535
Sp1,Zfp518b,ENSG00000178163
Tbc1d25,Exoc3l,ENSG00000179044
Cep72,Chtf18,ENSG00000127586
Helb,Irf2bpl,ENSG00000119669
Cd209a,Zcchc2,ENSG00000141664
Fnbp1l,Fert2,ENSG00000151422
Parp2,Bnip3l,ENSG00000104765
Gsk3a,4930414L22Rik,not found
Pdia3,Tinf2,ENSG00000092330
Plch1,Nsg1,ENSG00000168824
Mrps18a,C330007P06Rik,ENSG00000018610
Gm16675,Zfp707,not found
Ddx26b,Patl1,ENSG00000166889
Etfa,Ppfibp2,ENSG00000166387
Scfd1,Pgs1,ENSG00000087157
Ccl11,Slc46a3,ENSG00000139508
2810006K23Rik,Bcan,ENSG00000132692
Clip4,Top1,ENSG00000198900
Fgfr1op,Slc5a1,ENSG00000100170
Nme2,Athl1,ENSG00000142102
Vps52,Foxp1,ENSG00000114861
Hpcal4,Yeats4,ENSG00000127337
Smurf1,Rnf130,ENSG00000113269
Triqk,Usp14,ENSG00000101557
Lrp3,Gpr179,ENSG00000277399
Efna4,Slc7a5,ENSG00000103257
Cchcr1,Mfap5,ENSG00000197614
Setd2,Rnf44,ENSG00000146083
Ndufc1,Thumpd2,ENSG00000138050
Ppapdc3,Ndrg2,ENSG00000165795
Mrpl40,Rwdd2b,ENSG00000156253
Wdr43,Zik1,ENSG00000171649
Tmem181b-ps,Ppic,ENSG00000168938
Tmco6,1110057K04Rik,ENSG00000118961
Tsc22d3,Med6,ENSG00000133997
Sowahc,Dennd3,ENSG00000105339
Heg1,Ino80e,ENSG00000169592
Jph2,Ifit1,ENSG00000204010
Cox5b,Desi1,ENSG00000100418
Erich1,4930511M06Rik,not found
Mfsd5,Ppm1f,ENSG00000100034
Adcy6,Atl3,ENSG00000184743
Fhod1,Apba1,ENSG00000107282
Spata7,Fam188a,ENSG00000148481
Mtf1,Scgb1c1,ENSG00000188076
Tmc8,Scgb1c1,ENSG00000268320
D930016D06Rik,Sep-11,error - retries exceeded
Cspg4,Rps16,ENSG00000105193
Zbtb40,Gcc1,ENSG00000179562
Srpk3,Lmna,ENSG00000160789
Alox8,1600002K03Rik,ENSG00000228300
Sirt7,R3hcc1,ENSG00000104679
Spata1,Rpp21,ENSG00000241370
4930503L19Rik,Osbpl3,ENSG00000070882
AA414768,Zfp708,not found
Slc5a12,Mtch2,ENSG00000109919
Slc11a2,Kazn,ENSG00000189337
Gm10408,Ranbp6,ENSG00000137040
Mipep,Gm10033,not found
Gm15663,2610027K06Rik,not found
Lair1,Atxn7l3,ENSG00000087152
2010016I18Rik,Ell,ENSG00000105656
Haus1,Kcne1l,ENSG00000176076
Cryzl1,Fkrp,ENSG00000181027
Col3a1,Eri2,ENSG00000196678
Cul5,Grcc10,ENSG00000111678
Pex3,Efhb,ENSG00000163576
Slc23a1,Mlh1,ENSG00000076242
Scn5a,Scai,ENSG00000173611
Mki67,Clasrp,ENSG00000104859
Cand2,Cdca5,ENSG00000146670
Sdc2,Arpp19,not found
LOC100504703,Gm3230,error - retries exceeded
Nek10,Mapre2,ENSG00000166974
Ppt1,Cystm1,ENSG00000120306
Bag2,Rbm33,ENSG00000184863
Ttc7,Eif1a,ENSG00000173674
Gm10389,Prps1l3,ENSG00000147224
Tmem44,Hspa5,ENSG00000044574
Slc22a17,Pola1,ENSG00000101868
Trio,Ovgp1,ENSG00000085465
Bbs10,Taf3,ENSG00000165632
Daam1,Tmem2,ENSG00000135048
Tgm4,Pura,ENSG00000185129
Rxrg,Kdelc2,ENSG00000178202
Rtn4rl1,Acsf3,ENSG00000176715
Prkx,Vwf,ENSG00000110799
Zfp458,Stk10,ENSG00000072786
Flnc,Fdxacb1,ENSG00000255561
Fcrl1,Mtss1,ENSG00000170873
Sirpb1b,Wdr83os,ENSG00000105583
Tstd2,Gng2,ENSG00000186469
Selenbp1,Rnaset2b,ENSG00000026297
Lhfpl4,Taf11,ENSG00000284373
Srpx2,Taf11,ENSG00000250782
Slc26a10,Taf11,ENSG00000284465
Prr24,Taf11,ENSG00000284042
Gja4,Taf11,ENSG00000249662
Rin3,Taf11,ENSG00000284356
Il17rc,Taf11,ENSG00000283776
Fam169a,Taf11,ENSG00000283740
Rsu1,Taf11,ENSG00000249156
9030025P20Rik,Taf11,ENSG00000283967
Gba2,Taf11,ENSG00000284234
Ppm1j,Taf11,ENSG00000283988
Ccnb2,Taf11,ENSG00000284439
Wdr6,Taf11,ENSG00000284283
Gm4944,Oas1g,ENSG00000089127
Tacstd2,Atpaf1,ENSG00000123472
Cstb,Lyrm1,ENSG00000102897
Irf5,Fubp1,ENSG00000162613
Cnppd1,Col11a2,ENSG00000204248
Dolpp1,Pepd,ENSG00000124299
Cldn4,Mafg,ENSG00000197063
4931406C07Rik,Tbc1d13,ENSG00000107021
Polr2i,G3bp2,ENSG00000138757
Fzd8,Maml1,ENSG00000161021
D5Ertd579e,Nap1l4,ENSG00000205531
Snx20,Ctsz,ENSG00000101160
Chil4,B130024G19Rik,not found
Chd1l,Doc2b,ENSG00000272636
4930529M08Rik,Gm6623,not found
Twist1,Nuak1,ENSG00000074590
Keap1,Mt2,not found
Hk3,Coro1c,ENSG00000110880
Snx3,Tbc1d10c,ENSG00000175463
Ppox,2700089E24Rik,ENSG00000256537
8430427H17Rik,Coro1a,ENSG00000102879
Esrrg,Gm10638,not found
Tmem164,Zfp935,not found
Cxx1a,Fam69b,ENSG00000165716
4930412C18Rik,Aen,ENSG00000181026
Fut4,Rpl7a,not found
4930412O13Rik,Itgb7,ENSG00000139626
Eif4b,Rab7l1,ENSG00000117280
Bicd2,Prdx3,ENSG00000165672
Ranbp2,Thoc3,ENSG00000051596
Coa5,Tada2a,ENSG00000276234
Copb1,Usp46,ENSG00000109189
Dgkq,Scube1,ENSG00000159307
Wee1,Mis18a,ENSG00000159055
Cyp4f17,Nxnl2,ENSG00000130045
Pcdhb5,Sin3b,ENSG00000127511
Acyp1,Arl1,ENSG00000120805
Pold1,Glb1l,ENSG00000163521
Tmed10,Homer2,ENSG00000103942
Cd74,Zfp628,ENSG00000197483
4930526I15Rik,Lrrc8e,ENSG00000171017
Cytip,Il11,ENSG00000095752
Anln,Vti1a,ENSG00000151532
Dlk1,Taf2,ENSG00000064313
Tspan12,Kcnj12,ENSG00000260458
Mfsd7b,Kcnj12,ENSG00000184185
Sclt1,Fam189a2,ENSG00000135063
Rragc,Cep72,ENSG00000112877
Thtpa,Sp1,ENSG00000185591
Abcc4,Tbc1d25,ENSG00000068354
Zfp715,Helb,ENSG00000127311
Ttc38,Gm16675,not found
Mmachc,Snx31,ENSG00000174226
Ghitm,Pls1,ENSG00000120756
Hepacam,Fnbp1l,ENSG00000137942
Gzf1,Mrps18a,ENSG00000096080
Phkb,Gsk3a,ENSG00000105723
Hcn4,Pdia3,ENSG00000167004
Slc25a4,Parp2,ENSG00000129484
Rasgrp2,Cd209a,ENSG00000090659
Plcb4,Etfa,ENSG00000140374
Gm13212,Plch1,ENSG00000114805
Tmem123,Ddx26b,ENSG00000165359
Grhl3,Scfd1,ENSG00000092108
Arl6,2810006K23Rik,ENSG00000130921
Mapk7,Nme2,ENSG00000243678
Gm9855,Fgfr1op,ENSG00000213066
Itgb3bp,Efna4,ENSG00000243364
Tbl2,Vps52,ENSG00000223501
Nudt17,Clip4,ENSG00000115295
Mak16,Cchcr1,ENSG00000204536
Ccdc64b,Ndufc1,ENSG00000109390
Nop16,Lrp3,ENSG00000130881
Slc7a10,Ccl11,ENSG00000172156
Prickle2,Tmem181b-ps,not found
Hypk,Smurf1,ENSG00000198742
Aldh1a2,Mrpl40,ENSG00000185608
Rgs6,Hpcal4,ENSG00000116983
Ndfip2,Ppapdc3,ENSG00000160539
Gmps,Tmco6,ENSG00000113119
Stk32a,Sowahc,ENSG00000198142
C2cd2,Triqk,ENSG00000205133
Cyp4f18,Setd2,ENSG00000181555
Ssu72,Tsc22d3,ENSG00000157514
Col8a1,Erich1,ENSG00000104714
Ifi30,Mfsd5,ENSG00000182544
Gm4788,Heg1,ENSG00000173706
Smtnl2,Spata7,ENSG00000042317
Otud1,Mtf1,ENSG00000188786
Sema3e,Jph2,ENSG00000149596
Plxdc2,Wdr43,ENSG00000163811
Nmral1,Cox5b,ENSG00000135940
Rnf39,Adcy6,ENSG00000174233
Shc2,Tmc8,ENSG00000167895
Pls3,AA414768,not found
Optn,Fhod1,ENSG00000135723
Ramp2,Cspg4,ENSG00000173546
Zfp68,Sirt7,ENSG00000187531
Tulp3,4930503L19Rik,ENSG00000166845
Sgip1,Spata1,ENSG00000122432
Scnn1a,Gm15663,not found
Nfu1,Gm10408,not found
Cript,Lair1,ENSG00000167613
Pm20d1,Srpk3,ENSG00000184343
Ndufa12,Slc5a12,ENSG00000148942
Hsd17b7,Zbtb40,ENSG00000184677
Ptger2,Slc11a2,ENSG00000110911
Ttc39c,2010016I18Rik,not found
Itsn1,Alox8,ENSG00000179593
Hsd17b12,Col3a1,ENSG00000168542
Cyp3a13,Haus1,ENSG00000152240
Ramp1,Mipep,ENSG00000027001
Slc39a13,Scn5a,ENSG00000183873
Bnipl,Mki67,ENSG00000148773
Gm14685,Slc23a1,ENSG00000089057
Hoxb2,Pex3,ENSG00000189186
Adrb3,Pex3,ENSG00000226372
Osr1,Cryzl1,ENSG00000205758
Hipk1,Gm10389,not found
Chst15,Cul5,ENSG00000166266
Fam65c,Cand2,ENSG00000144712
Naa40,Sdc2,ENSG00000169439
Diap1,Bag2,ENSG00000112208
Nop2,Tmem44,ENSG00000145014
Nr2f1,Nek10,ENSG00000163491
Coq9,Slc22a17,ENSG00000092096
Prx,Ppt1,ENSG00000131238
Sgcg,Ttc7,ENSG00000068724
Gtf2h5,Zfp458,ENSG00000213799
Rpl35,Tgm4,ENSG00000163810
Npr1,Bbs10,ENSG00000179941
Prkar1a,Rxrg,ENSG00000143171
Smim14,Prkx,ENSG00000183943
D630039A03Rik,Daam1,ENSG00000100592
Bcas3os2,Sirpb1b,ENSG00000101307
Gsr,Sirpb1b,ENSG00000198053
Tmem43,Sirpb1b,ENSG00000089012
Gck,Fcrl1,ENSG00000132185
Shc4,Rtn4rl1,ENSG00000185924
Ypel5,Prr24,ENSG00000257704
Dusp23,D930016D06Rik,error - retries exceeded
Fam63b,Trio,ENSG00000038382
Agpat4,Tstd2,ENSG00000136925
Sox9,Selenbp1,ENSG00000143416
Gng7,Gja4,ENSG00000187513
Lpl,Slc26a10,not found
Dynlt1f,Il17rc,ENSG00000163702
Tmem53,Lhfpl4,ENSG00000156959
Tlk2,Srpx2,ENSG00000102359
Dlg4,9030025P20Rik,ENSG00000130023
Vav2,Fam169a,ENSG00000198780
Kbtbd11,Rin3,ENSG00000100599
Pear1,Gba2,ENSG00000070610
Zfp956,Rsu1,ENSG00000148484
Gdpd2,Gm4944,ENSG00000196378
Hcfc1,Flnc,ENSG00000128591
Ift122,Wdr6,ENSG00000178252
Prdm9,Ccnb2,ENSG00000157456
