gene,Altemeir_16116230_Unranked,Bao_31411002_ranked,Deng_37674532_ranked,Feng_37553691,Hu_37081490_Unranked,Jia_34917127_ranked,Leikauf_21297076_Unranked,Leikauf_22447970,Leikauf_23590305_Unranked,Li_31106457_ranked,Lingappan_25003466,Lv_2621618_Unranked,Teng_33961683_ranked,Wang_30979832,Wang_37149072_Ranked,Yue_31373289_ranked,maic_score,contributors
RP24-242E11.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-7F9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-10L17.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-98C9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-105K2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
Gt(ROSA)26Sor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-81C12.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-88F2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-380B10.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-92F8.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-338E5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-95L9.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-463E8.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
B230354K17Rik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-114C10.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-148L8.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
ZFAS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
SNHG20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-277J22.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-16O15.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
GAS5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-193A16.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-434H14.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-169M4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-87D8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-310D17.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
SNHG12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-205D10.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-453O8.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
Gm26885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
Gm26809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-447D15.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-247M18.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
SNHG1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
AC147806.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-288J11.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-313I4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-137A24.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-151H6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-64D24.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-146O20.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-78N8.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-95L9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-250A14.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-122P5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-500I24.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
SNHG3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-392K24.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
AC129328.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-235E15.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-282C4.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-26J4.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
CAAA01180111.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-231M6.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-372I24.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-279M5.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-273K21.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
DLEU2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP24-192J22.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-89L15.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-250G8.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
XIST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-15O6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
Sp3os,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-338G5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-167C5.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
PEG13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
Lncpint,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
RP23-89F9.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,TRANSCRIPTOMICS: Teng_33961683_ranked
DDIT4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
MT1A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
HMOX1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
STAT3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
DUSP1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
ALOX12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
ZFP36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Hu_37081490_Unranked
ZBTB16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
RNF157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
CCNY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
WRNIP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
ALAS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
KLHL29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
Dennd61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
KHDRBS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
ANKRD42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
PRKD1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
KANSL1L,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
CACNA1A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Li_31106457_ranked
GZMA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CD74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
Ly6a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
Gm19951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
Wfdc21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
FPR1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
IRAK3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
POU2F2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
LTB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
MT-ND1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
KLF4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
LMNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
MT-ATP6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
NR4A2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
VEGFA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
LRG1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
HDC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CD300LD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CXCR2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
SORL1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CSF3R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
TMSB10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
TRBC2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
RPL3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
Ms4a4b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
RPS4Y1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
RPS24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
HLA-DQA1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
HLA-DRB5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
HLA-DQB1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CD79A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
EBF1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
LY6D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
MEF2C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
Ly6c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CLDN5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
CALCRL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
RAMP2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
PTPRB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
EPAS1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Feng_37553691
ALOX5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
ATP1A1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
MAN1A2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
GALNT11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
Itag9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
MBD4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
HRH1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
Pharctr2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
PLXND1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
PTPRT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
RELN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
ZFAND4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_23590305_Unranked
MGAT4A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
COP1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
TRO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
CACYBP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
ARHGAP15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
CACNB4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
ACVR1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
CCDC14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
TGFBR3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
Fanc1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
MYCN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Leikauf_21297076_Unranked
CXCL11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
TNFRSF9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
Sectm1b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
CCL19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
ADAMTS4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
Serpina3f,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
UBD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
IFI16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
Gm4841,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
RGS16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
PROK2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
RASL10B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
TNNC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
KRTDAP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
Gm12250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
LCE3A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
CCL3L3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
BC147527,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
EBI3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
C1orf162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
A530064D06Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,TRANSCRIPTOMICS: Lv_2621618_Unranked
RPL37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL37A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
Gm10076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
IFITM3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
ZBP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
Oasl2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
FCGR3B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RTP4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
Ly6i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
HERC6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
Trim30a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
IRF1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
MRPL52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
PSME2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
TAP2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
Igtp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPL35A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
GBP4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
TAP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
XAF1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
EIF1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
DDIT3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
HLA-E,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
RPS15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRANSCRIPTOMICS: Deng_37674532_ranked
