Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Unc93b1,Ppig,ENSG00000138398
Ezh2,Pex14,ENSG00000142655
Mark2,C1qtnf3,ENSG00000082196
Wdtc1,Enoph1,ENSG00000145293
Epb4.1,Gripap1,ENSG00000068400
Zswim5,Cluh,ENSG00000132361
Slc4a7,9330182L06Rik,ENSG00000164659
Capg,Lats1,ENSG00000131023
Eef1e1,Mfsd11,ENSG00000092931
Arhgap18,Rnf115,ENSG00000265491
Mmp2,Ccdc102a,ENSG00000135736
Cdkn2d,Acer2,ENSG00000177076
Cdon,Thrap3,ENSG00000054118
Ets2,Trabd,ENSG00000170638
ChkbCpt1b,Junb,ENSG00000171223
Farp2,C1galt1c1,ENSG00000171155
Pde8a,Olfr558,ENSG00000180785
Rab9,Tnk2,ENSG00000061938
Armc8,Fbln5,ENSG00000140092
Tpd52l2,Pgam5,ENSG00000247077
Cd68,Ptrf,ENSG00000177469
Clcc1,Bambi,ENSG00000095739
Cactin,Ankhd1,ENSG00000131503
Sh3pxd2b,Prcc,ENSG00000143294
Fam151b,Tomm40,ENSG00000130204
Tipin,Lrch2,ENSG00000130224
Mettl17,Tnrc6b,ENSG00000100354
Zfp945,Apba1,ENSG00000107282
Sap30bp,Ngfrap1,ENSG00000166681
Brms1,Anapc4,ENSG00000053900
Parm1,Kcnab3,ENSG00000170049
Nptn,Pdia3,ENSG00000167004
Gemin4,S100a4,ENSG00000196154
Lox,Urm1,ENSG00000167118
Sin3a,Chek1,ENSG00000149554
Ccnt2,Dnajb12,ENSG00000148719
Wls,Fert2,ENSG00000151422
Kcnn4,Gtf3c4,ENSG00000125484
Micall1,Mllt4,ENSG00000130396
Tcf20,Plekha8,ENSG00000106086
Lgalsl,Pak4,ENSG00000130669
Zfp551,Tspan6,ENSG00000000003
Pgm5,Zbtb5,ENSG00000168795
0610037L13Rik,Suclg2,ENSG00000172340
Fam189a1,Zfp608,ENSG00000168916
Lypla1,Kcnj13,ENSG00000115474
Apbb1ip,Snap91,ENSG00000065609
Gata6,Adamts15,ENSG00000166106
Rtn1,Tbc1d20,ENSG00000125875
Ggta1,St5,ENSG00000166444
Med9,Tal1,ENSG00000162367
Fdft1,Smek2,ENSG00000275052
Id2,Pex11b,ENSG00000131779
Cldn25,Nrd1,ENSG00000078618
Map1lc3b,Slc6a9,ENSG00000196517
Htatsf1,Pcdhac2,ENSG00000243232
Frmd8,Tram1,ENSG00000067167
Dnajc11,Adh5,ENSG00000197894
Arhgap6,Acap3,ENSG00000131584
Itga2,Pard6a,ENSG00000102981
Acbd4,Aebp2,ENSG00000139154
Sec22b,Agtr1b,ENSG00000144891
Cdk11b,Chad,ENSG00000136457
Rgs5,Rab1b,ENSG00000174903
B230217O12Rik,Pdzd4,ENSG00000067840
Spdef,Magi1,ENSG00000151276
A630072M18Rik,Srp9,ENSG00000143742
Pcdhgb8,Slc25a20,ENSG00000178537
Nkain3,Bap1,ENSG00000151276
Usp40,Lpar6,ENSG00000139679
Dtwd1,Entpd4,ENSG00000197217
H3f3b,Slc38a1,ENSG00000111371
Glt8d1,Tmem43,ENSG00000170876
Cdk9,Mapkapk2,ENSG00000162889
Igfbp5,Rps6kc1,ENSG00000162889
Mapkap1,Leng8,ENSG00000167615
BC002163,Slc12a9,ENSG00000146828
A230103J11Rik,Sulf1,ENSG00000137573
Flnb,Nup205,ENSG00000155561
Dnajb2,Rhoj,ENSG00000126785
Mir17hg,Zfp639,ENSG00000121864
Pag1,Crlf3,ENSG00000176390
Ugp2,Ilf3,ENSG00000129351
Nkain1,Cybb,ENSG00000165168
Pkp2,Spry4,ENSG00000187678
Fut10,Elovl5,ENSG00000012660
Cr1l,Zfp827,ENSG00000151612
Tex264,Akt1s1,ENSG00000204673
Gm3488,Dysf,ENSG00000135636
Zcwpw1,Alcam,ENSG00000170017
Gm3317,Tufm,ENSG00000178952
P2ry6,Rab3gap1,ENSG00000115839
Klhl12,Exoc8,ENSG00000116903
Zc3h11a,1810041L15Rik,ENSG00000138944
Kctd13,Cyth1,ENSG00000108669
Gm6402,Nrp1,ENSG00000099250
2310067B10Rik,Ppfia4,ENSG00000143847
Sfxn1,Gdap2,ENSG00000196505
Prrc2a,Midn,ENSG00000167470
Ptprq,Skida1,ENSG00000180592
Mpped2,Braf,ENSG00000157764
Soat1,Aff4,ENSG00000072364
Sh2b1,Psmb1,ENSG00000008018
Hoxa4,Tbx3,ENSG00000135111
Gns,Dedd2,ENSG00000160570
Pwwp2a,Dpp3,ENSG00000254986
Dctpp1,Pdk4,ENSG00000004799
Grpel1,Fzd10,ENSG00000111432
Trp63,Aplp2,ENSG00000084234
Srp54c,Fndc3b,ENSG00000075420
Abcc3,Abca2,ENSG00000107331
Ebi3,Plekhh3,ENSG00000068137
Glipr1,Ern1,ENSG00000178607
Nfkbil1,Shisa7,ENSG00000187902
Tmem38a,Clptm1l,ENSG00000049656
Gpr18,Ap4m1,ENSG00000221838
Efhc2,Zbtb43,ENSG00000169155
Gabarapl1,Rnf157,ENSG00000141576
4833423E24Rik,Epha2,ENSG00000142627
Hid1,Ykt6,ENSG00000106636
Cyb5d2,Mta3,ENSG00000057935
Iffo2,Ubxn1,ENSG00000162191
Ube4b,Syt10,ENSG00000110975
Gdf15,Slc7a10,ENSG00000130876
Cdc26,Rnf139,ENSG00000170881
Tmem189,Sema3d,ENSG00000153993
Gspt1,Gjb2,ENSG00000165474
Cd2ap,Pacs2,ENSG00000179364
6030443J06Rik,Pnisr,ENSG00000132424
Cnot2,Mpp1,ENSG00000130830
5330413P13Rik,Acsl3,ENSG00000123983
Rad23a,Lamc1,ENSG00000135862
Parn,Reep2,ENSG00000132563
Bola3,Fam192a,ENSG00000172775
Paqr3,Grip1,ENSG00000155974
Slco4c1,Vamp4,ENSG00000117533
Fhl3,Ephb4,ENSG00000196411
Lynx1,Tfcp2l1,ENSG00000115112
AI662270,Naa25,ENSG00000111300
Gja1,Tmem68,ENSG00000167904
Rere,Pkdcc,ENSG00000162878
Krtcap3,Parp11,ENSG00000111224
Tceal3,Vav1,ENSG00000141968
Ccno,Ift81,ENSG00000122970
Srf,Sh3gl2,ENSG00000107295
Dcaf12l1,4931406P16Rik,ENSG00000166398
Mrpl34,Pvrl3,ENSG00000177707
Chil3,Tmeff1,ENSG00000241697
Gbp6,Gnas,ENSG00000087460
Adora3,Nabp2,ENSG00000139579
Arpc1b,Fkbp14,ENSG00000106080
Tob1,Rhof,ENSG00000139725
Man1b1,Bag2,ENSG00000112208
Plp2,Gdnf,ENSG00000168621
Rps27l,Ism1,ENSG00000101230
Tbx1,Ldoc1l,ENSG00000188636
Zswim8,Mrto4,ENSG00000053372
2810002D19Rik,Psmb6,ENSG00000142507
Shfm1,Dnajc6,ENSG00000116675
Lpcat4,Itm2c,ENSG00000135916
Abhd1,Phospho1,ENSG00000173868
Lrrc14b,Slc9a1,ENSG00000090020
Zw10,Thap7,ENSG00000184436
P2rx1,Alg9,ENSG00000086848
Lrrc1,Alox5,ENSG00000012779
Noc4l,Vash1,ENSG00000071246
Slc43a3,Katna1,ENSG00000186625
Rer1,Anxa11,ENSG00000122359
Slc39a8,Mgat3,ENSG00000128268
Tmem59,Epc1,ENSG00000120616
Dusp28,Sgsm2,ENSG00000141258
Rpl38,Hint1,ENSG00000169567
Endou,Zbtb34,ENSG00000177125
S100a13,Dcp2,ENSG00000172795
Gss,Shisa3,ENSG00000178343
Tmem191c,Gchfr,ENSG00000137880
Mcam,Dgcr14,ENSG00000100056
Izumo4,Tnni3,ENSG00000129991
Chmp4c,Anapc5,ENSG00000089053
Sorcs1,Taf7,ENSG00000178913
Gpr34,Rbm15,ENSG00000162775
Cspp1,4833424O15Rik,ENSG00000117598
Rab3a,Fubp3,ENSG00000107164
P2ry1,C030046E11Rik,ENSG00000107036
Ggact,Loxl3,ENSG00000115318
Xist,Twsg1,ENSG00000128791
Ttc23,Chst14,ENSG00000169105
Eea1,Ackr3,ENSG00000144476
Wdr20,Nbl1,ENSG00000158747
Rbfox3,Kcna6,ENSG00000151079
Erg,Gpr161,ENSG00000143147
Stra13,Olfr78,ENSG00000167332
Scamp5,Fam160b1,ENSG00000151553
Plcg2,Pabpn1,ENSG00000100836
Cggbp1,Dcun1d4,ENSG00000109184
Evi5l,Rab40b,ENSG00000141542
Card9,Dmxl2,ENSG00000104093
LOC100861615,Kirrel3,ENSG00000149571
Stam2,2510009E07Rik,ENSG00000187068
Smarca1,Lta4h,ENSG00000111144
2810403D21Rik,Stx8,ENSG00000170310
Cdh3,Dtx3,ENSG00000178498
Zcchc4,Itgb1bp2,ENSG00000147166
Epb4.1l2,Tek,ENSG00000120156
C3ar1,Foxf2,ENSG00000137273
Igfbp4,Ube2s,ENSG00000108106
Thnsl1,Crip2,ENSG00000182809
Fbln1,Hnrnpa0,ENSG00000177733
Tacc2,Shkbp1,ENSG00000160410
Rnf144b,Zdhhc18,ENSG00000204160
Atf5,Rab22a,ENSG00000124209
Lcn2,Lmbrd1,ENSG00000168216
Slc25a38,Lamb1,ENSG00000091136
Ptprt,Slc37a4,ENSG00000137700
Acat2,Wdr26,ENSG00000162923
Gan,Slc25a16,ENSG00000122912
Map3k12,Papd4,ENSG00000164329
Csnk1d,Dicer1,ENSG00000100697
Ankdd1b,Mcm7,ENSG00000166508
Il16,Taf6l,ENSG00000162227
Tert,Tssc1,ENSG00000032389
Ctdp1,Prr16,ENSG00000184838
Urah,Tshz1,ENSG00000179981
Amigo2,Gpam,ENSG00000119927
Rbm19,Pianp,ENSG00000139200
Aldh3a1,Wwox,ENSG00000186153
Simc1,1110051M20Rik,ENSG00000149179
Tmx2,Ddit4l,ENSG00000145358
Dus3l,Ncoa5,ENSG00000124160
Nr6a1,Fh1,ENSG00000091483
Ndufaf3,D10Bwg1379e,ENSG00000112379
Pcdh9,Zfp462,ENSG00000148143
Tmem200b,Sec11a,ENSG00000140612
Cd59a,Adcyap1r1,ENSG00000078549
Gad1,Foxn3,ENSG00000053254
Prkd3,Gpt2,ENSG00000166123
Card6,Shb,ENSG00000107338
Rpusd4,Tusc2,ENSG00000114383
Sult1a1,Rps10,ENSG00000124614
Ankib1,Gabrp,ENSG00000094755
Fhod3,Pddc1,ENSG00000177225
Fscn1,Nup160,ENSG00000030066
Ccdc94,Ski,ENSG00000157933
Hdac9,Psen1,ENSG00000080815
Mettl15,Ncoa1,ENSG00000084676
Ret,Runx1,ENSG00000159216
Bcat2,Akirin1,ENSG00000174574
Rps10,Bmper,ENSG00000164619
B3gnt3,Dctd,ENSG00000129187
Taok1,Sel1l,ENSG00000071537
Nol9,Mageh1,ENSG00000187601
Slc25a29,Tiparp,ENSG00000163659
Chst11,Tmed10,ENSG00000170348
Smco3,Dhrs11,ENSG00000278535
Usp32,Arl14ep,ENSG00000152219
Ubn1,Gtpbp2,ENSG00000172432
Arhgef9,Rnpepl1,ENSG00000142327
Eid2b,Atn1,ENSG00000111676
Wwc1,Mknk2,ENSG00000099875
Myo1f,2410131K14Rik,ENSG00000111412
Hiat1,Rcn3,ENSG00000142552
Ing2,Atg14,ENSG00000126775
Gkap1,Mllt6,ENSG00000275023
Luc7l,Nacc2,ENSG00000148411
Pphln1,Pfkfb2,ENSG00000123836
Mboat1,Vti1b,ENSG00000100568
Ivns1abp,Foxo1,ENSG00000150907
Mkl1,Rfx7,ENSG00000181827
Cnksr2,Zfp787,ENSG00000142409
4833422C13Rik,Lrp12,ENSG00000147650
Fam73a,Tbc1d24,ENSG00000162065
Arntl,Prrg1,ENSG00000130962
Selt,Pak6,ENSG00000137843
Yy2,Tmem136,ENSG00000181264
Camkk1,Rem2,ENSG00000139890
Smco1,Hmgcll1,ENSG00000146151
Dgat1,Arhgap24,ENSG00000138639
Stk19,2210013O21Rik,ENSG00000204272
Wdr53,Micu1,ENSG00000107745
Mical3,Mapk12,ENSG00000188130
Mfn2,Rassf2,ENSG00000101265
Eif2b5,Tmem251,ENSG00000153485
Rhbg,AW209491,ENSG00000136197
9430016H08Rik,Foxj1,ENSG00000129654
Kif13a,Wsb1,ENSG00000109046
Slc35a2,Upk1a,ENSG00000105668
Prickle4,Tomt,ENSG00000284844
Fastk,Fxyd6,ENSG00000137726
Hnrnpc,Rrp9,ENSG00000114767
Gpatch3,Vps54,ENSG00000143952
Trappc2l,Igsf3,ENSG00000143061
Slc17a5,Tfcp2,ENSG00000135457
Fam124a,Trnt1,ENSG00000072756
Ezh1,Qdpr,ENSG00000151552
Reps2,Fam131a,ENSG00000175182
Stac,Git2,ENSG00000139436
Nckap1l,Rab11fip4,ENSG00000131242
Maml2,Csgalnact2,ENSG00000169826
D830031N03Rik,Bcl11b,ENSG00000127152
Mterfd2,Rit1,ENSG00000127152
Gbp5,Dbp,ENSG00000105516
Nt5c3,Erp44,ENSG00000023318
Sepw1,Nab1,ENSG00000138386
Gdpgp1,Yipf5,ENSG00000145817
Prr11,Atg7,ENSG00000197548
Btbd6,Lmcd1,ENSG00000071282
A830080D01Rik,Hat1,ENSG00000128708
Nudt4,Pcdh18,ENSG00000189184
H2afx,Pkp3,ENSG00000184363
Zbtb26,Tmem189,ENSG00000240849
Cd69,Ikbkb,ENSG00000104365
Mlph,Abracl,ENSG00000146386
Fuca1,Bckdha,ENSG00000248098
Oaz1-ps,Dcaf13,ENSG00000164934
Got1,Hook1,ENSG00000134709
Tmem222,Drp2,ENSG00000102385
Ciapin1,Abhd17a,ENSG00000129968
Coa3,Fam84b,ENSG00000168672
Stk40,Fam73b,ENSG00000148343
Tax1bp3,Pccb,ENSG00000114054
Asb7,Nfat5,ENSG00000102908
Galnt15,Flcn,ENSG00000154803
Fam57a,Rnf167,ENSG00000108523
Ints7,Tmx2,ENSG00000213593
Dars,Ubr1,ENSG00000159459
S1pr2,Pcsk1,ENSG00000175426
Malat1,Add2,ENSG00000075340
Tmem108,Etv4,ENSG00000175832
Mcoln3,Usp20,ENSG00000136878
Pigc,Gpcpd1,ENSG00000125772
Zfp563,Pgbd5,ENSG00000177614
Fbxo21,Glis2,ENSG00000126603
Mterf1a,Fmod,ENSG00000122176
Rnf182,Irf2,ENSG00000168310
Prrc2c,Irx5,ENSG00000176842
Slc34a2,Mier3,ENSG00000155545
Fuca2,Shisa2,ENSG00000180730
Mpv17l,Plscr3,ENSG00000187838
Cd37,Dchs1,ENSG00000166341
Klf8,Htt,ENSG00000108576
Atp5k,Slc6a4,ENSG00000108576
Fam124b,Chmp6,ENSG00000176108
Nnmt,Pcdh20,ENSG00000280165
Pop7,Phc1,ENSG00000111752
Ywhah,Wt1,ENSG00000184937
Brox,Sh3bp5,ENSG00000131370
Bcl11a,Eps15l1,ENSG00000127527
F2rl1,Apba2,ENSG00000034053
Zfp366,Kdelr3,ENSG00000100196
Cenpl,Cdc42ep3,ENSG00000163171
Heatr3,Pole3,ENSG00000148229
Tspan18,Arfgap2,ENSG00000149182
Tmem251,Polr3e,ENSG00000058600
Htatip2,Chst15,ENSG00000182022
Rab15,Ak3,ENSG00000147853
Stard10,Thbs4,ENSG00000113296
Ep300,Rnf40,ENSG00000103549
Scube3,Rpl4,ENSG00000174444
Pex12,Msh2,ENSG00000095002
Aoah,Bicc1,ENSG00000122870
Rell1,Parp1,ENSG00000143799
Lins,Foxp4,ENSG00000137166
2410006H16Rik,Crebl2,ENSG00000111269
Stk38,Htra3,ENSG00000170801
Pygo1,Arfip1,ENSG00000164144
Kif22,Adcy1,ENSG00000164742
Tbkbp1,Dhdds,ENSG00000117682
Mark4,Nr4a3,ENSG00000119508
Lrrc9,Tesk1,ENSG00000107140
Ankrd52,Yif1a,ENSG00000174851
Ide,Asb4,ENSG00000005981
Thap6,Adipor2,ENSG00000006831
Ebag9,Ikzf1,ENSG00000185811
Ccdc132,Exosc9,ENSG00000123737
Mmp13,Ttc30b,ENSG00000196659
Strip1,Itgb1,ENSG00000150093
Xkrx,Foxo6,ENSG00000204060
Rcan1,Rnf146,ENSG00000118518
Snrnp27,Eif2a,ENSG00000144895
Rbx1,Laptm4b,ENSG00000104341
Ilf2,Elovl1,ENSG00000066322
Btbd1,Adra2a,ENSG00000150594
Pitpna,Nomo1,ENSG00000103512
Fkbp7,Ror2,ENSG00000169071
Krt19,Appl2,ENSG00000136044
Adamts5,Kdsr,ENSG00000119537
Ipo5,Dtna,ENSG00000134769
Ovca2,Cog7,ENSG00000168434
Fam171b,Rap1gap2,ENSG00000132359
Ampd3,Tead2,ENSG00000074219
Gm21541,Nfatc4,ENSG00000100968
Gm10591,Rcan1,ENSG00000159200
Tmem221,Ptbp1,ENSG00000011304
Epdr1,Stim1,ENSG00000167323
Mdh1,Pde5a,ENSG00000138735
Tcf19,Srpx,ENSG00000101955
Actr8,Clstn1,ENSG00000171603
Lyve1,Dopey1,ENSG00000083097
Gpc6,Senp8,ENSG00000166192
Six4,Zbtb6,ENSG00000186130
Lrrc75b,Fyttd1,ENSG00000122068
Zfp292,Arhgap42,ENSG00000165895
2700060E02Rik,Psph,ENSG00000146733
Pbdc1,Tie1,ENSG00000066056
Herc4,Ndufs2,ENSG00000158864
Alg10b,Slc25a30,ENSG00000174032
Mri1,Fam118a,ENSG00000100376
Fam20b,Tspan4,ENSG00000214063
Gt(ROSA)26Sor,Msrb3,ENSG00000174099
Pcdhb9,Psat1,ENSG00000135069
Sacm1l,Fbxo33,ENSG00000165355
Sdccag3,Scn4a,ENSG00000007314
Slc25a20,Hmg20b,ENSG00000064961
Fgd1,Lgr4,ENSG00000205213
Zbtb7a,Lpl,ENSG00000175445
Ints8,Phf2,ENSG00000112511
Prkaa2,Phf1,ENSG00000112511
Tbc1d9,Slc18a2,ENSG00000165646
Zap70,Sparc,ENSG00000113140
Egfr,Ap1s1,ENSG00000106367
Usp43,Sh3yl1,ENSG00000035115
Ntan1,Ankrd13d,ENSG00000172932
Ppcs,Col12a1,ENSG00000111799
C330027C09Rik,Def6,ENSG00000023892
Golm1,Rpn2,ENSG00000118705
Dnajc3,Cdh22,ENSG00000149654
Rad51d,C2cd5,ENSG00000111731
Cyb561,Pxk,ENSG00000168297
Tm2d2,Anapc1,ENSG00000153107
2810055G20Rik,Prpf31,ENSG00000105618
Gm6377,Stx17,ENSG00000136874
Uri1,Entpd7,ENSG00000198018
Zbtb8os,Elk3,ENSG00000111145
Mxd4,Rab11fip2,ENSG00000107560
Slc8a3,Unc5b,ENSG00000107731
Zscan25,Rabl3,ENSG00000144840
Wasl,Gnao1,ENSG00000087258
Map3k6,Atxn2l,ENSG00000168488
Col1a1,Urod,ENSG00000126088
Hn1,Iqsec1,ENSG00000144711
Pigb,Ndufv2,ENSG00000178127
Socs6,Cers2,ENSG00000143418
Nfat5,Kin,ENSG00000151657
1110019D14Rik,Xxylt1,ENSG00000173950
Ube2i,Brpf3,ENSG00000096070
Opa3,Gpr63,ENSG00000112218
Lrsam1,Dhx33,ENSG00000005100
Agbl3,Phc3,ENSG00000173889
St6gal1,Thap11,ENSG00000168286
Mknk1,2300009A05Rik,ENSG00000189227
Ccdc163,Camsap2,ENSG00000118200
1700030K09Rik,Zmat5,ENSG00000100319
Zfp580,Osgin2,ENSG00000164823
Ppp1r18,Trps1,ENSG00000104447
Ccl21c,Camta2,ENSG00000108509
Gm13304,Rnft2,ENSG00000135119
Wipi1,Itsn2,ENSG00000198399
Zbtb12,Slc7a8,ENSG00000092068
Lrrc28,Lat2,ENSG00000092068
Tmcc2,Fam120c,ENSG00000184083
Mgat4a,Tollip,ENSG00000078902
Ccdc85a,Phf13,ENSG00000116273
Mrpl54,Slc35e3,ENSG00000175782
Tbc1d4,Colgalt2,ENSG00000198756
Tuba1a,Nup35,ENSG00000163002
2410004I01Rik,Ube3b,ENSG00000151148
Zfp111,Colec12,ENSG00000158270
Leo1,Usp33,ENSG00000077254
Asap2,Szt2,ENSG00000198198
Fdx1,Ppara,ENSG00000186951
Calr3,Aldh1l2,ENSG00000136010
Fignl2,Pdlim3,ENSG00000154553
Wbp5,Rab31,ENSG00000168461
Gda,Uso1,ENSG00000138768
Supt4a,Rad50,ENSG00000113522
Ppp1r3f,Htra1,ENSG00000166033
Batf2,Abcb7,ENSG00000131269
Tet2,Agpat3,ENSG00000160216
Tmem135,Osbpl7,ENSG00000006025
1110059G10Rik,Bpgm,ENSG00000172331
Chac1,Snta1,ENSG00000101400
Ppfia3,Ednra,ENSG00000151617
Cep120,Notch2,ENSG00000134250
Atp6v1a,Kdm6b,ENSG00000132510
Entpd5,Gpr4,ENSG00000177464
Aip,Psip1,ENSG00000164985
Mtss1l,Cdkn2c,ENSG00000123080
Nipal3,Calhm2,ENSG00000138172
Intu,Zfpl1,ENSG00000162300
Srxn1,Ntan1,ENSG00000157045
Gnmt,Setd3,ENSG00000183576
Zfp597,Psmc3,ENSG00000165916
Dynlrb1,Dpp6,ENSG00000130226
Carhsp1,Hspa4l,ENSG00000164070
Pisd,Cdh4,ENSG00000179242
Por,Ptprs,ENSG00000105426
Frem2,Lpar2,ENSG00000064547
Fkbp1b,Irf4,ENSG00000137265
Ttc14,Aldh1l1,ENSG00000144908
Gm166,Pank4,ENSG00000157881
Man2a2,Oplah,ENSG00000178814
Psmb6,Trak1,ENSG00000182606
Bod1,Pnpla6,ENSG00000032444
Lrrc27,Tfip11,ENSG00000100109
Cks2,Kcne3,ENSG00000175538
Rpl37a,Slc35g2,ENSG00000168917
Pitpnm3,Dock6,ENSG00000130158
Aprt,Elk1,ENSG00000183960
St3gal4,Lzts2,ENSG00000107816
Arhgef37,Camk1g,ENSG00000008118
Trim56,Taok2,ENSG00000149930
B230206H07Rik,Clmp,ENSG00000166250
Ppil2,Wdr44,ENSG00000131725
Tyw5,Bcas3,ENSG00000141376
Rnft1,Wdr35,ENSG00000118965
Riiad1,Stam,ENSG00000136738
Gm4070,Ptpn7,ENSG00000143851
Rnf125,Etfdh,ENSG00000171503
Acap3,Leprel4,ENSG00000141696
Upf1,Wscd2,ENSG00000075035
Id4,Atg4a,ENSG00000101844
9930111J21Rik1,Add3,ENSG00000148700
Recql4,Spast,ENSG00000021574
Hpgds,Kcnc3,ENSG00000131398
Pgpep1,Ccng1,ENSG00000113328
Bsn,Gpr125,ENSG00000152990
Jade2,Smarcad1,ENSG00000163104
Efcab4a,Zfp689,ENSG00000156853
Rab27b,Schip1,ENSG00000151967
Ces1g,Tvp23b,ENSG00000171928
Zfp108,Thra,ENSG00000126351
Cs,Zfp653,ENSG00000161914
Scaf4,Gatad1,ENSG00000157259
Itpr3,Slc30a6,ENSG00000152683
Pclo,Bax,ENSG00000087088
Wdr83,Wfikkn2,ENSG00000173714
Casp4,Pck2,ENSG00000100889
Arhgef5,Mpp7,ENSG00000150054
Agtrap,Capn5,ENSG00000149260
Gfm1,Pycr2,ENSG00000143811
Myo1b,Cttn,ENSG00000085733
Rbm4b,Nucks1,ENSG00000069275
Trim33,Ubqln4,ENSG00000160803
Sla,Rassf4,ENSG00000132669
AI464131,Rin2,ENSG00000132669
Fam214a,Itgav,ENSG00000138448
Tomm7,Med13l,ENSG00000123066
Rab5a,Aifm1,ENSG00000156709
Clcf1,Hnrnpab,ENSG00000197451
Picalm,Tead4,ENSG00000197905
Mthfs,Grap,ENSG00000154016
Fam203a,Adcy9,ENSG00000162104
Rpap1,Lrtm2,ENSG00000166159
Atl1,Jade1,ENSG00000077684
Mgea5,Rpf2,ENSG00000197498
Zfp566,Eif3f,ENSG00000175390
Bok,Atad3a,ENSG00000197785
Cep131,Meaf6,ENSG00000163875
Maea,Map3k10,ENSG00000130758
Sh3tc1,Ube2j1,ENSG00000198833
Braf,Dera,ENSG00000023697
Txn1,Slc25a42,ENSG00000181035
Gpc4,Fam171a1,ENSG00000148468
Tbx5,Cic,ENSG00000079432
Ubxn2a,Brd9,ENSG00000028310
Tspyl2,Zak,ENSG00000091436
Ttc32,Mtmr1,ENSG00000063601
Acox1,Ntrk2,ENSG00000148053
Wdr74,Fam81a,ENSG00000157470
Clp1,Ankrd40,ENSG00000154945
Gca,Rab7l1,ENSG00000117280
Mgat1,Oxct1,ENSG00000083720
Ywhaq,Fhl2,ENSG00000115641
Trp53,Card11,ENSG00000198286
Prrt4,Adam17,ENSG00000151694
Dnajc27,Adcy4,ENSG00000129467
Gm14326,Ankrd63,ENSG00000230778
Chp2,Zfp523,ENSG00000065029
Ffar4,Spred2,ENSG00000198369
Taf15,Osbpl11,ENSG00000144909
Ldlrad4,Wdr91,ENSG00000105875
Pik3ap1,Gatsl3,ENSG00000239282
Mtg1,Cdyl,ENSG00000153046
Fam129a,Pgam2,ENSG00000164708
Naa35,Slc9a9,ENSG00000181804
Zfp672,Ryk,ENSG00000163785
Casc3,Ubald1,ENSG00000153443
Hook1,Psd,ENSG00000059915
Rnf207,Faim2,ENSG00000135472
Ubp1,Fnta,ENSG00000168522
Ccdc80,Zfp668,ENSG00000167394
Nr1h3,Trim67,ENSG00000119283
Ppp2r3c,Plekha6,ENSG00000143850
Zfp11,Samd10,ENSG00000130590
8430408G22Rik,Pcdhgc3,ENSG00000240184
Runx2,Slc30a4,ENSG00000104154
Tmsb15l,Bbs1,ENSG00000174483
Mysm1,Cnksr3,ENSG00000153721
Kctd8,Slc27a4,ENSG00000167114
Tmem87b,Pnma1,ENSG00000176903
Dip2b,Kdm2b,ENSG00000089094
Wdr5b,Tgfbr2,ENSG00000163513
Mtmr4,Crtc2,ENSG00000160741
Prdm2,Cox17,ENSG00000138495
Ier5l,Anxa7,ENSG00000138279
E030030I06Rik,Fbxo22,ENSG00000167196
Nans,Ganab,ENSG00000089597
Aar2,Gpr68,ENSG00000119714
Xpc,Ascc3,ENSG00000112249
Ino80dos,Ppp1r21,ENSG00000162869
Mapk4,Anxa8,ENSG00000265190
Siah1b,Hdac9,ENSG00000048052
Tppp,2310036O22Rik,ENSG00000123144
Ap5b1,Mpv17,ENSG00000115204
Zcchc9,Slmap,ENSG00000163681
Zfp960,Paqr9,ENSG00000188582
Zfp82,Ccnd2,ENSG00000118971
Elp4,Slc35f3,ENSG00000183780
Oas2,Dpt,ENSG00000143196
Nr4a2,Nsmaf,ENSG00000035681
Naalad2,Pdpr,ENSG00000090857
Cers3,1110001J03Rik,ENSG00000164898
Tekt5,Gm16515,ENSG00000274180
Uhrf1,Kdelc1,ENSG00000134901
Ttc33,Exosc8,ENSG00000120699
9330159F19Rik,Stx12,ENSG00000117758
Szt2,Setdb1,ENSG00000143379
AU019823,Pdcl,ENSG00000136940
Rhobtb3,Ddx27,ENSG00000124228
Asap1,Dgkz,ENSG00000149091
Lpin1,Emp3,ENSG00000142227
Sac3d1,Mybpc2,ENSG00000086967
Wdyhv1,Thap1,ENSG00000131931
Ndst1,Arhgap23,ENSG00000275832
Dock4,Ubiad1,ENSG00000120942
Zscan2,Fbxl17,ENSG00000145743
Calcrl,E2f4,ENSG00000205250
Nsdhl,Vars,ENSG00000204394
Enpp4,Glp1r,ENSG00000112164
Colec11,Fn1,ENSG00000115414
Dzip3,Ptpn3,ENSG00000070159
Efemp1,Ash1l,ENSG00000116539
Nln,Scube1,ENSG00000159307
Sp2,Dusp23,ENSG00000158716
Raver2,Rgma,ENSG00000182175
Bcam,Prmt6,ENSG00000198890
Tcf7l1,Naa38,ENSG00000183011
Zfp407,Med29,ENSG00000063322
Ttc28,Osbpl1a,ENSG00000141447
Det1,Dock8,ENSG00000107099
Abhd10,Hyou1,ENSG00000149428
Cltc,Arid2,ENSG00000189079
Mterfd1,Cenpb,ENSG00000125817
Sardh,Xkrx,ENSG00000182489
Nktr,Jarid2,ENSG00000008083
Fem1a,Als2,ENSG00000003393
Scap,Pdk1,ENSG00000152256
Hmha1,Mynn,ENSG00000085274
Zbtb5,Cdc123,ENSG00000151465
Dnah8,Dhx36,ENSG00000174953
