Mouse Genes,Human Ortholog Symbol,Identity
Gpbp1l1,ENSG00000159592,89.0295
Aqp9,ENSG00000103569,68.8136
Noc2l,ENSG00000188976,74.7664
Nrarp,ENSG00000198435,100
2610020C07Rik,not found,
Pbx2,ENSG00000204304,97.907
Atic,ENSG00000138363,91.0473
Aplnr,ENSG00000134817,91.0526
2700029M09Rik,ENSG00000056050,89.3064
Mtif3,ENSG00000122033,64.3885
Phldb2,ENSG00000144824,86.8316
Bicd1,ENSG00000151746,95.5897
D330023K18Rik,not found,
Brdt,ENSG00000137948,71.7001
Bend3,ENSG00000178409,90.8213
Wdhd1,ENSG00000198554,82.5509
1500017E21Rik,not found,
Med19,ENSG00000156603,94.6721
Map3k7,ENSG00000135341,99.3399
Foxj2,ENSG00000065970,89.8955
Hinfp,ENSG00000172273,84.7195
Pira11,ENSG00000186818,29.2411
Pira11,ENSG00000204577,40.0951
Pira11,ENSG00000244482,52.3909
Pira11,ENSG00000187116,45.1505
Pira11,ENSG00000105609,39.9323
Pira11,ENSG00000239961,48.6974
Asun,ENSG00000064102,95.6091
Prr7,ENSG00000131188,94.1606
Tlcd1,ENSG00000160606,87.0445
Amph,ENSG00000078053,80.7194
Dysf,ENSG00000135636,92.9684
Csrnp1,ENSG00000144655,74.1936
Ubfd1,ENSG00000103353,95.1456
Thnsl2,ENSG00000144115,82.8512
Ptpn1,ENSG00000196396,82.5287
Ptpn3,ENSG00000070159,92.0044
Gm5088,not found,
Aspa,ENSG00000108381,86.262
BC005764,ENSG00000129951,87.1866
Ppapdc1b,ENSG00000147535,85.2273
Ccar1,ENSG00000060339,94.7826
Sox7,ENSG00000171056,87.6289
Dnajb9,ENSG00000128590,93.722
Plekhg6,ENSG00000008323,81.519
Ttc30b,ENSG00000196659,92.4812
Ttc30b,ENSG00000197557,90.5263
Pik3cb,ENSG00000051382,95.3271
Tmem64,ENSG00000180694,89.4737
Peg12,ENSG00000165879,68.1004
Trmt12,ENSG00000183665,78.5714
Slc15a1,ENSG00000088386,85.1695
N4bp3,ENSG00000145911,90.8088
Dph3,ENSG00000154813,96.3415
Cyp2d22,ENSG00000100197,75.6539
Cpsf4,ENSG00000160917,99.2565
Ovol2,ENSG00000125850,89.0909
Cnot3,ENSG00000088038,94.9535
Syt7,ENSG00000011347,97.9592
Mmgt2,not found,
Anxa1,ENSG00000135046,87.5723
Phospho1,ENSG00000173868,92.8839
Prkar2b,ENSG00000005249,96.89
Vps51,ENSG00000149823,95.7801
Krt7,ENSG00000135480,80.8102
Map4,ENSG00000047849,36.0627
AI450353,error - retries exceeded,
Adamts6,ENSG00000049192,95.9714
Uqcc1,ENSG00000101019,87.6254
Cpeb1,ENSG00000214575,90.3061
Cdk16,ENSG00000102225,97.5806
Gprasp1,ENSG00000198932,57.7778
Bmp5,ENSG00000112175,93.1718
Pomt1,ENSG00000130714,85.6552
Prickle1,ENSG00000139174,93.2611
Cecr2,ENSG00000099954,81.4208
Fam53a,ENSG00000174137,66.5829
Taf1c,ENSG00000103168,65.4804
Zfp318,ENSG00000171467,71.8736
Rpl14-ps1,not found,
Hba-a1,ENSG00000206172,86.6197
Hba-a1,ENSG00000188536,86.6197
Tmc4,ENSG00000167608,74.7875
Nat2,ENSG00000171428,82.069
Nat2,ENSG00000156006,75.1724
Pelp1,ENSG00000141456,86.1947
Ubald2,ENSG00000185262,90.2439
A930005H10Rik,not found,
Ptpn2,ENSG00000175354,88.6747
Zswim4,ENSG00000132003,91.5913
Ccdc88a,ENSG00000115355,94.2811
Adam5,not found,
Cald1,ENSG00000122786,77.1753
Cog2,ENSG00000135775,84.4173
Itih4,ENSG00000055955,65.2688
Usp27x,ENSG00000273820,96.347
Trim23,ENSG00000113595,97.561
Cd96,ENSG00000153283,60.9842
Pigk,ENSG00000142892,91.1392
Cables2,ENSG00000149679,89.1213
Rbbp4,ENSG00000162521,100
Isyna1,ENSG00000105655,88.3513
Orc3,ENSG00000135336,79.8875
Usp48,ENSG00000090686,93.8164
Tmcc3,ENSG00000057704,93.9203
Apobec1,ENSG00000111701,68.6441
E130309D02Rik,ENSG00000146576,94.6548
0610040J01Rik,ENSG00000154274,57.0064
Golim4,ENSG00000173905,81.6092
Alox15,ENSG00000161905,73.4139
Mycl,ENSG00000116990,89.8352
B630019K06Rik,not found,
Naprt1,ENSG00000147813,83.829
Kcnq1,ENSG00000053918,87.7219
Lmnb1,ENSG00000113368,96.2457
Ctif,ENSG00000134030,93.4783
Hkdc1,ENSG00000156510,91.0578
Amd2,ENSG00000123505,97.9042
Tubb6,ENSG00000176014,97.5336
5830416P10Rik,not found,
Zfp654,ENSG00000175105,87.766
Entpd6,ENSG00000197586,82.2314
Dusp7,ENSG00000164086,98.568
Fbxw5,ENSG00000159069,89.7526
Tie1,ENSG00000066056,92.4429
Zfp865,ENSG00000261221,88.5741
Acvr2b,ENSG00000114739,99.4141
Usb1,ENSG00000103005,80.3774
Ppbp,ENSG00000163736,48.4375
Lrat,ENSG00000121207,80
Arhgap10,ENSG00000071205,91.4758
Chrnb2,ENSG00000160716,87.251
Rapgef5,ENSG00000136237,84.7112
1810062G17Rik,not found,
Mex3a,ENSG00000254726,96.9231
Hadha,ENSG00000084754,86.5007
Nrip3,ENSG00000175352,91.2863
Ddx52,ENSG00000278053,88.1469
Arl5a,ENSG00000162980,98.8827
Amn1,ENSG00000151743,75.969
Cd177,ENSG00000204936,52.6316
Cngb1,ENSG00000070729,74.2606
Icos,ENSG00000163600,68.3417
Klhl2,ENSG00000109466,97.9764
Hmga2-ps1,not found,
Sft2d3,ENSG00000173349,77.6744
Mif4gd,ENSG00000125457,93.2432
Lgals1,ENSG00000100097,88.1481
Dr1,ENSG00000117505,99.4318
Plcxd2,ENSG00000240891,93.5484
Gm13749,not found,
Schip1,ENSG00000151967,92.1971
Pcmtd1,ENSG00000168300,98.5994
Gm20300,not found,
AA388235,not found,
Gpx3,ENSG00000211445,89.3805
Dnaic1,ENSG00000122735,87.5536
Elavl2,ENSG00000107105,99.7215
Isy1,ENSG00000240682,98.2456
Akr1b3,ENSG00000085662,85.443
Tmem56,ENSG00000152078,76.8061
Wnt9a,ENSG00000143816,97.2603
Syt6,ENSG00000134207,95.8824
Vdac3,ENSG00000078668,98.2332
Zfp651,ENSG00000114853,77.1084
Gigyf1,ENSG00000146830,90.7246
Afg3l1,not found,
Asf1b,ENSG00000105011,91.5842
Vprbp,ENSG00000145041,98.2747
Fam32a,ENSG00000105058,96.4286
Rarg,ENSG00000172819,98.0176
Tcp11,ENSG00000124678,70.7753
Glud1,ENSG00000148672,97.8495
Glud1,ENSG00000182890,93.9068
Zfp189,ENSG00000136870,90.5751
Scg3,ENSG00000104112,88.2479
H19,not found,
Osgin2,ENSG00000164823,92.3497
Rgl2,ENSG00000237441,89.8327
4430402I18Rik,ENSG00000106686,61.7347
Car11,ENSG00000063180,96.9512
Ccl28,ENSG00000151882,61.4173
BC052688,error - retries exceeded,
Abtb1,ENSG00000114626,93.9331
Slc46a1,ENSG00000076351,87.146
Ctsk,ENSG00000143387,86.0182
Kras,ENSG00000133703,90.4255
Jkamp,ENSG00000050130,98.0707
Kcnj2,ENSG00000123700,98.5948
Bet1,not found,
Incenp,ENSG00000149503,71.2418
Ttc26,ENSG00000105948,96.3899
Dbi,ENSG00000155368,74.7126
Fmod,ENSG00000122176,92.5532
Mark3,ENSG00000075413,95.8831
Crem,ENSG00000095794,85.9532
Oaf,ENSG00000184232,86.0806
Lyar,ENSG00000145220,75.1979
Ap3d1,ENSG00000065000,88.0658
Anapc13,ENSG00000129055,95.9459
Cdk5r1,ENSG00000176749,98.3713
Sidt2,ENSG00000149577,95.4327
Reep1,ENSG00000068615,95.4225
Bcorl1,ENSG00000085185,90.6443
Gimap4,ENSG00000133574,59.8784
Chst8,ENSG00000124302,85.3774
Gvin1,not found,
Surf6,ENSG00000148296,71.4681
Adi1,ENSG00000182551,82.6816
Aagab,ENSG00000103591,84.7619
Rap2b,ENSG00000181467,100
Dgkb,ENSG00000136267,95.7659
Ankrd13b,ENSG00000198720,88.1789
3110062M04Rik,ENSG00000122783,64.9682
Herpud1,ENSG00000051108,88.7468
Mafb,ENSG00000204103,97.2136
Nfe2,ENSG00000123405,88.7399
Gpr155,ENSG00000163328,89.7701
Gm17757,error - retries exceeded,
Jmjd6,ENSG00000070495,97.7667
Gadd45g,ENSG00000130222,96.8553
Hist1h2ao,ENSG00000278463,100
Cenpt,ENSG00000102901,55.2585
Msto1,ENSG00000125459,66.4912
Ttc27,ENSG00000018699,84.5789
Atpif1,ENSG00000130770,67.9245
Myl9,ENSG00000101335,99.4186
Emc2,ENSG00000104412,97.3064
Zfp667,ENSG00000198046,74.4262
Dtx3,ENSG00000178498,92.7954
Mapk8,ENSG00000107643,97.1897
Thy1,ENSG00000154096,69.5652
Tgtp2,not found,
Tk1,ENSG00000167900,87.1795
Smad7,ENSG00000101665,98.1221
4831440E17Rik,error - retries exceeded,
Swap70,ENSG00000133789,95.0427
Sep-02,error - retries exceeded,
Pla2g7,ENSG00000146070,67.5737
Hs3st6,ENSG00000162040,90.0585
Serpina3c,ENSG00000196136,58.6288
Aurkb,ENSG00000178999,84.593
Cox6a1,ENSG00000111775,83.4862
Pxn,ENSG00000089159,75.3932
Gm7694,not found,
Dusp2,ENSG00000158050,87.5796
Aup1,ENSG00000115307,90.2439
Sema7a,ENSG00000138623,89.039
Sike1,ENSG00000052723,91.7874
A330023F24Rik,not found,
Vegfa,ENSG00000112715,83.7975
Tnrc18,ENSG00000182095,74.8989
Cd81,ENSG00000110651,91.9492
Cxcr5,ENSG00000160683,83.3333
Gpatch8,ENSG00000186566,90.2131
Arid5a,ENSG00000196843,76.0943
Erlin1,ENSG00000107566,95.977
Rbpjl,ENSG00000124232,87.8143
N4bp1,ENSG00000102921,81.1384
Fap,ENSG00000078098,89.4737
Cul3,ENSG00000036257,99.4792
Fam69a,ENSG00000154511,96.9626
Ubap2,ENSG00000137073,81.5907
Oit3,ENSG00000138315,89.5413
C530008M17Rik,ENSG00000109265,66.2612
Vps29,ENSG00000111237,98.9011
Ankrd16,ENSG00000134461,81.7175
Clec1b,ENSG00000165682,63.7555
Asb6,ENSG00000148331,88.5986
Ccdc34,ENSG00000109881,69.1689
Cpox,ENSG00000080819,78.8546
Ddx39,ENSG00000123136,97.1897
Notch2,ENSG00000134250,92.2703
Lrrn2,ENSG00000170382,90.0421
Phyhd1,ENSG00000175287,85.9107
Immp2l,ENSG00000184903,91.4286
Zfp174,ENSG00000103343,74.9386
Camk2n2,ENSG00000163888,98.7342
Ccm2,ENSG00000136280,94.5946
Cd80,ENSG00000121594,40.9722
Pon1,ENSG00000005421,82.2535
Cntln,ENSG00000044459,77.3115
Treml2,ENSG00000112195,52.0249
Prelp,ENSG00000188783,89.5288
Fyb,ENSG00000082074,77.0808
Polg,ENSG00000140521,85.7143
Layn,ENSG00000204381,83.6898
Vars,ENSG00000204394,92.0095
Dvl1,ENSG00000107404,94.964
Def8,ENSG00000140995,87.1397
B4galt1,ENSG00000086062,86.6834
Gabre,ENSG00000102287,68.9723
Vps41,ENSG00000006715,96.9555
Ncald,ENSG00000104490,100
Zfp26,not found,
Itpr2,ENSG00000123104,95.8164
Apool,ENSG00000155008,76.8657
C8g,ENSG00000176919,73.7624
Zscan18,ENSG00000121413,46.4706
Mettl6,ENSG00000206562,85.5634
Gadd45a,ENSG00000116717,94.5455
Sgms2,ENSG00000164023,91.5069
Scand1,ENSG00000171222,58.6592
6030419C18Rik,ENSG00000205363,88.7372
Morc1,ENSG00000114487,65.1423
Spon1,ENSG00000262655,96.2825
Acacb,ENSG00000076555,88.4052
Cks1b,ENSG00000173207,100
Slmap,ENSG00000163681,92.0428
Tet3,ENSG00000187605,89.5822
Steap2,ENSG00000157214,96.5306
Dnajc14,ENSG00000135392,85.0427
Glp1r,ENSG00000112164,92.0086
Taf13,ENSG00000197780,100
Zfp59,ENSG00000197782,52.2621
Eci1,ENSG00000167969,67.8808
Rep15,ENSG00000174236,72.8814
Syt10,ENSG00000110975,92.9254
E130102H24Rik,not found,
Ifngr1,ENSG00000027697,49.0798
Aard,ENSG00000205002,56.129
Hecw2,ENSG00000138411,95.1018
Slc37a4,ENSG00000137700,92.7739
Ddo,ENSG00000203797,80.3519
Zfp955b,not found,
Wdr61,ENSG00000140395,97.3771
Parp8,ENSG00000151883,96.1358
Sfswap,ENSG00000061936,88.7487
Tlr1,ENSG00000174125,74.0458
Nfatc1,ENSG00000131196,83.7752
Cercam,ENSG00000167123,83.3613
Sdsl,ENSG00000139410,80.2432
Pard6g,ENSG00000178184,78.4574
Gpr108,ENSG00000125734,82.5046
Gpn1,ENSG00000198522,90.3743
Ccdc149,ENSG00000181982,81.1215
A230056P14Rik,not found,
Gm5141,not found,
Polr3f,ENSG00000132664,98.7342
Igfbp2,ENSG00000115457,81.8462
Znrf1,ENSG00000186187,98.6784
Cpeb3,ENSG00000107864,96.8481
Fam53c,ENSG00000120709,94.6429
Cd84,ENSG00000066294,58.5366
Cnnm3,ENSG00000168763,86.9873
Lhx5,ENSG00000089116,98.7562
Esm1,ENSG00000164283,75
Dact1,ENSG00000165617,80.6008
Efcab5,ENSG00000176927,53.6926
Txlna,ENSG00000084652,89.9267
Rac2,ENSG00000128340,98.9583
Coro6,ENSG00000167549,96.3983
Golga2,ENSG00000215252,41.6252
Golga2,ENSG00000167110,74.9271
Golga2,ENSG00000261739,47.4922
Golga2,ENSG00000232653,45.0949
Golga2,ENSG00000249931,46.1905
Golga2,ENSG00000186399,44.5325
Golga2,ENSG00000206127,44.7785
Golga2,ENSG00000153684,46.5409
Golga2,ENSG00000261247,46.1173
Golga2,ENSG00000188626,45.5696
Golga2,ENSG00000179938,45.0949
Golga2,ENSG00000175265,41.6252
Golga2,ENSG00000261794,44.9367
Golga2,ENSG00000183629,46.7593
Golga2,ENSG00000178115,45.0949
Fbl,ENSG00000105202,95.9502
Zfp386,not found,
Ly6i,ENSG00000291309,37.3134
Cd109,ENSG00000156535,72.0415
Rbm10,ENSG00000182872,95.3763
Ccdc61,ENSG00000104983,85.3516
Cd79b,ENSG00000007312,68.1223
Mpp2,ENSG00000108852,96.3768
Shank1,ENSG00000161681,93.8917
Slc4a3,ENSG00000114923,95.6169
Pcp4l1,ENSG00000248485,86.7647
Dirc2,ENSG00000138463,94.9791
Pvrl3,ENSG00000177707,92.8962
Casp9,ENSG00000132906,78.3654
Sephs2,ENSG00000179918,89.9554
Mar-03,error - retries exceeded,
Tmem163,ENSG00000152128,91.3495
Mettl18,ENSG00000171806,69.3548
Osbpl1a,ENSG00000141447,92
Micu2,ENSG00000165487,85.9447
Tbc1d32,ENSG00000146350,84.5664
Ccl2,not found,
Gm3264,not found,
Matr3,ENSG00000015479,98.3471
Cars2,ENSG00000134905,76.773
Pcdhb10,ENSG00000113209,76.6038
Ptgr2,ENSG00000140043,86.6097
Mertk,ENSG00000153208,81.0811
Pabpc1l,ENSG00000101104,75.7674
Ak3,ENSG00000147853,92.511
Ptprz1,ENSG00000106278,81.9007
Prkrir,ENSG00000137492,94.7438
Ptger3,ENSG00000050628,78.9744
Ptprb,ENSG00000127329,83.702
Pecam1,ENSG00000261371,62.3306
Hspa4,ENSG00000170606,96.0714
Scoc,ENSG00000153130,100
Myrip,ENSG00000170011,79.8603
Krt79,ENSG00000185640,82.8037
Hoxa3,ENSG00000105997,93.6795
Txndc17,ENSG00000129235,80.4878
Qtrt1,ENSG00000213339,87.0968
Nsmf,ENSG00000165802,94.3396
Fbxo6,ENSG00000116663,66.8942
Bace2,ENSG00000182240,87.6448
2610203C20Rik,not found,
Firre,not found,
Ipp,ENSG00000197429,93.4931
F730043M19Rik,not found,
Nxf7,ENSG00000269437,53.5144
Nxf7,ENSG00000269405,53.5144
Enox2,ENSG00000165675,94.4923
Zfp704,ENSG00000164684,88.835
Pot1b,ENSG00000128513,71.9243
Wipf3,ENSG00000122574,79.089
Wdpcp,ENSG00000143951,75.3351
Nek1,ENSG00000137601,81.6485
Mansc4,ENSG00000205693,61.4706
Gxylt2,ENSG00000172986,88.0361
Ptges,ENSG00000148344,79.6053
Lum,ENSG00000139329,86.6864
Gm10409,not found,
Brms1l,ENSG00000100916,99.3808
Aldh1a3,ENSG00000184254,93.9453
Scpep1,ENSG00000121064,82.3009
Sema4g,ENSG00000095539,90.5101
Dvl3,ENSG00000161202,98.1844
Tsc1,ENSG00000165699,87.1993
Rapgefl1,ENSG00000108352,94.5619
Anxa11,ENSG00000122359,92.8713
Rnasel,ENSG00000135828,63.5628
Nova2,ENSG00000104967,98.5772
Socs7,ENSG00000180008,85.9091
Gnai3,ENSG00000065135,98.3051
Serf1,ENSG00000172058,93.5484
Fam63a,ENSG00000143409,85.9275
Npepps,ENSG00000141279,97.4973
M1ap,ENSG00000159374,71.6981
Cyp27a1,ENSG00000135929,71.7514
Gimap8,ENSG00000171115,53.6842
Actr10,ENSG00000131966,95.2038
Ednrb,ENSG00000136160,88.914
Prpf40b,ENSG00000110844,93.3857
C130046K22Rik,not found,
0610031J06Rik,ENSG00000198715,78.5714
Lama1,ENSG00000101680,76.2927
Suv39h1,ENSG00000101945,94.4175
Timm21,ENSG00000075336,68.1452
Dbt,ENSG00000137992,87.1369
Zfp825,not found,
Cyp2u1,ENSG00000155016,78.4926
Acvr1b,ENSG00000135503,98.2178
Tspan6,ENSG00000000003,93.0612
H2-L,error - retries exceeded,
Wtip,ENSG00000142279,79.5349
Prosc,ENSG00000147471,85.4545
H2-T10,not found,
Mtpn,ENSG00000105887,99.1525
Myh7,ENSG00000092054,97.261
Rps28,ENSG00000233927,100
Mrm1,ENSG00000278619,72.8045
Ipo8,ENSG00000133704,89.8746
Sp6,ENSG00000189120,96.0106
Fam96a,ENSG00000166797,95
Rtel1,ENSG00000258366,70
Enpep,ENSG00000138792,76.698
Trafd1,ENSG00000135148,76.1168
Cdh13,ENSG00000140945,93.6886
Atoh8,ENSG00000168874,87.2274
Fam196a,ENSG00000188916,83.7161
Ly96,ENSG00000154589,63.75
Gng11,ENSG00000127920,100
Kcnj8,ENSG00000121361,98.3491
Rbm4,ENSG00000173933,94.7802
Adrbk2,ENSG00000100077,91.4244
Mfap4,ENSG00000166482,94.5098
Trim8,ENSG00000171206,97.6407
Tcirg1,ENSG00000110719,83.9759
Nat6,ENSG00000243477,75.8741
Utp23,ENSG00000147679,87.1486
Ldb1,ENSG00000198728,99.7567
Plxnb1,ENSG00000164050,86.6979
Edar,ENSG00000135960,91.5179
Lrrc8a,ENSG00000136802,99.0123
Cry1,ENSG00000008405,96.2457
Aste1,ENSG00000034533,78.056
Atp1b1,ENSG00000143153,94.0594
H2-Eb1,not found,
Il7r,ENSG00000168685,64.0523
Lgals3,ENSG00000131981,81.2
Pigz,not found,
Slc25a53,ENSG00000269743,88.5993
Rp9,ENSG00000164610,89.1403
Gm17821,not found,
Ak2,ENSG00000004455,94.9791
Tgif1,ENSG00000177426,88.2353
Mmrn2,ENSG00000173269,66.1749
Vwa1,ENSG00000179403,72.1348
Ppp1r3fos,not found,
Dgkd,ENSG00000077044,93.9044
Hbb-b2,error - retries exceeded,
Mybpc2,ENSG00000086967,92.0245
Rasgrf2,ENSG00000113319,91.4309
Ntrk2,ENSG00000148053,92.1241
Cenpk,ENSG00000123219,74.7212
Saysd1,ENSG00000112167,76.5027
Zfp930,not found,
Rsrp1,ENSG00000117616,76.5517
Armc7,ENSG00000125449,83.8384
Ube2m,ENSG00000130725,100
Pgm2l1,ENSG00000165434,93.2476
Dennd2c,ENSG00000175984,83.0819
Kif6,ENSG00000164627,81.0811
E2f8,ENSG00000129173,82.9296
Camk1,ENSG00000134072,97.027
Ykt6,ENSG00000106636,92.9293
Ppp4r2,not found,
Stk36,ENSG00000163482,84.7148
Zfp709,not found,
Chst3,ENSG00000122863,84.7599
Cldn12,ENSG00000157224,91.3934
Bbs4,ENSG00000140463,89.5954
Stc1,ENSG00000159167,96.3563
Gdf5,ENSG00000125965,91.4172
Plk2,ENSG00000145632,96.6423
Hsd11b1,ENSG00000117594,78.0822
Maoa,ENSG00000189221,87.4763
Ankrd46,ENSG00000186106,97.807
Fgfr1,ENSG00000077782,98.1752
Prss35,ENSG00000146250,77.2397
Lims1,ENSG00000169756,91.9881
Lims1,ENSG00000256671,95.7286
Lims1,ENSG00000256977,95.7286
Rasd1,ENSG00000108551,96.7971
Klf9,ENSG00000119138,96.7213
Zfp97,not found,
2210011C24Rik,ENSG00000141854,72.1461
Pllp,ENSG00000102934,90.1099
Lifr,ENSG00000113594,75.2051
Mapkapk3,ENSG00000114738,94.7644
Nudt11,ENSG00000196368,95.7317
Hoxb5,ENSG00000120075,98.8848
Slc22a23,ENSG00000137266,91.8367
Bcl9,ENSG00000116128,95.3015
Cntf,ENSG00000242689,81.5
Sod3,ENSG00000109610,64.5833
Tnni3k,ENSG00000116783,90.8982
Sema6c,ENSG00000143434,87.8495
Chrm1,ENSG00000168539,98.913
Sox13,ENSG00000143842,89.0675
Nus1,ENSG00000153989,90.4437
Ficd,ENSG00000198855,89.5197
Adra1d,ENSG00000171873,84.2657
Plxnb2,ENSG00000196576,87.5952
Slc9a1,ENSG00000090020,92.8834
Bcar1,ENSG00000050820,90.6897
Cd40,ENSG00000101017,62.0939
Tm4sf1,ENSG00000169908,78.2178
Lama2,ENSG00000196569,88.0205
Il7,ENSG00000104432,60.452
2010107G23Rik,not found,
Gm7173,not found,
Alpk3,ENSG00000136383,72.0821
Cabin1,ENSG00000099991,88.3784
Ang,ENSG00000214274,72.7891
Cenpp,ENSG00000188312,67.3611
Pcdhga8,ENSG00000253767,83.3691
Mfsd12,ENSG00000161091,84.375
Scp2,ENSG00000116171,89.2139
Dpm1,ENSG00000000419,91.1538
Acot9,ENSG00000123130,79.4643
Ccdc37,ENSG00000163885,63.5025
Itfg3,ENSG00000167930,73.5507
Elmod3,ENSG00000115459,80.0525
Rnf11,ENSG00000123091,99.3506
Fam198b,ENSG00000164125,83.4297
Slc39a10,ENSG00000196950,87.3646
BC035044,not found,
Gm14431,not found,
9430083A17Rik,error - retries exceeded,
Fggy,ENSG00000172456,91.1071
Cxcr4,ENSG00000121966,91.1932
Ctgf,ENSG00000118523,90.5444
Medag,ENSG00000102802,91.0891
Gm3558,not found,
Lrrc3b,ENSG00000179796,99.6139
Zfyve20,ENSG00000131381,83.5459
BC037034,error - retries exceeded,
Ell2,ENSG00000118985,90.3125
E130311K13Rik,ENSG00000174928,73.4694
Mst1r,ENSG00000164078,74
Zbtb14,ENSG00000198081,99.3318
Frmd4b,ENSG00000114541,93.617
Sfn,ENSG00000175793,97.5806
Sbsn,ENSG00000189001,54.7458
Dok3,ENSG00000146094,78.4091
Tecr,ENSG00000099797,95.4545
Gimap9,not found,
Chek2,ENSG00000183765,83.0571
Acads,ENSG00000122971,89.8058
Epha2,ENSG00000142627,92.9303
Mrgpre,ENSG00000184350,73.3974
Gm12695,ENSG00000162598,63.9194
Thsd7a,ENSG00000005108,90.525
Hsbp1l1,ENSG00000226742,70.2703
Hspbap1,ENSG00000169087,72.9508
4930402H24Rik,ENSG00000088854,84.7918
Hexb,ENSG00000049860,71.9424
Npw,ENSG00000183971,56.3636
Lrrc49,ENSG00000137821,89.5044
Atxn7l2,ENSG00000162650,82.4934
Prdx6,ENSG00000126432,57.4766
Tmem39a,ENSG00000176142,95.082
Dusp5,ENSG00000138166,93.4896
Fign,ENSG00000182263,97.892
Fabp3,ENSG00000121769,85.7143
Csnk1g2,ENSG00000133275,95.1807
Slc37a1,ENSG00000134955,87.2255
Fuz,ENSG00000010361,86.3636
Fam149a,ENSG00000109794,64.1192
Mad2l2,ENSG00000116670,98.5782
Cited4,ENSG00000179862,77.7174
Rbbp9,ENSG00000089050,91.3979
Ppp1r13l,ENSG00000104881,87.5604
Gm14295,not found,
Ptprn,ENSG00000054356,87.4362
Mtmr7,ENSG00000003987,94.5455
Sema4a,ENSG00000196189,83.8371
Aftph,ENSG00000119844,78.8462
Cwf19l2,ENSG00000152404,72.9306
Cetn3,ENSG00000153140,98.8024
Sycp3,ENSG00000139351,71.6102
Cct2,ENSG00000166226,97.5701
Qpctl,ENSG00000011478,84.2932
Col23a1,ENSG00000050767,89.4444
Shank3,ENSG00000251322,95.3066
Tmc3,ENSG00000188869,81.5455
Tshz1,ENSG00000179981,92.7577
Mcemp1,ENSG00000183019,46.5517
Tab1,ENSG00000100324,97.2222
Npas2,ENSG00000170485,87.0146
Clk4,ENSG00000113240,97.0894
Sestd1,ENSG00000187231,98.1322
F3,ENSG00000117525,53.2203
Arhgap24,ENSG00000138639,92.6471
Kpna3,ENSG00000102753,99.2322
Atat1,ENSG00000137343,89.3112
Armc6,ENSG00000105676,77.8443
Phf3,ENSG00000118482,77.6361
Hspa1l,ENSG00000204390,94.6958
Dera,ENSG00000023697,92.1384
Metap1d,ENSG00000172878,91.0448
Rgs9,ENSG00000108370,90.9496
Prnp,ENSG00000171867,89.3281
Endov,ENSG00000173818,79.4326
Sympk,ENSG00000125755,94.5055
Dok4,ENSG00000125170,98.1595
Fbxl8,ENSG00000135722,78.6096
Slc1a5,ENSG00000105281,82.4399
Clic4,ENSG00000169504,98.8142
Srd5a3,ENSG00000128039,80.8176
Gtf2a1,ENSG00000165417,96.8085
Zpbp,ENSG00000042813,78.3476
Gm5801,not found,
Impad1,ENSG00000104331,91.0863
Ccdc112,ENSG00000164221,84.8771
Gm1987,ENSG00000137077,70.1493
Fchsd2,ENSG00000137478,96.4865
Zfp180,ENSG00000167384,67.6692
Pln,ENSG00000198523,98.0769
Raver1,ENSG00000161847,88.498
Ltf,ENSG00000012223,70.5634
Prmt1,ENSG00000126457,99.7305
Hyi,not found,
Magi2,ENSG00000187391,93.4708
Xiap,ENSG00000101966,89.336
Cenpn,ENSG00000166451,72.8614
2610035D17Rik,not found,
Mtmr2,ENSG00000087053,97.3561
Tmem70,ENSG00000175606,59.2308
Tmem63b,ENSG00000137216,98.1971
Oaz1,ENSG00000104904,83.7719
Whamm,ENSG00000156232,65.6366
Fndc7,ENSG00000143107,85.4025
Tnfaip8l2,ENSG00000163154,94.0217
Vangl1,ENSG00000173218,95.4198
1600014C10Rik,ENSG00000131943,81.5603
Synm,ENSG00000182253,68.2428
Ramp3,ENSG00000122679,81.7568
Lmbrd1,ENSG00000168216,92.7778
4933428G20Rik,not found,
6430531B16Rik,not found,
Trmt11,ENSG00000066651,91.5767
Gm20362,not found,
Nod2,ENSG00000167207,79.1708
D230025D16Rik,ENSG00000125149,96.9194
5430427O19Rik,ENSG00000120280,83.3887
Brcc3,ENSG00000185515,97.2509
Lrrc2,ENSG00000163827,85.7143
Rdh18-ps,not found,
Dkk3,ENSG00000050165,82.5714
Sucla2,ENSG00000136143,91.1447
Trip10,ENSG00000125733,90.5158
Rsph3a,ENSG00000130363,68.4211
Slc40a1,ENSG00000138449,90.3678
Scara3,ENSG00000168077,90.5941
Dxo,ENSG00000204348,89.899
Fam3a,ENSG00000071889,90.8696
Proz,ENSG00000126231,66.5
Tnfrsf1a,ENSG00000067182,63.0769
Ddit3,ENSG00000175197,88.1657
Hs6st3,ENSG00000185352,94.9045
Pcdhb19,ENSG00000197479,74.5295
Pcdhb19,ENSG00000120328,74.0881
Adam15,ENSG00000143537,79.9537
Slc6a14,not found,
Anapc10,ENSG00000164162,99.4595
Snx5,ENSG00000089006,98.2673
Gpsm3,ENSG00000213654,88.125
Cap2,ENSG00000112186,88.8889
Fance,ENSG00000112039,63.806
Pilra,not found,
Tex9,ENSG00000151575,75.7033
Slc25a42,ENSG00000181035,92.1384
Rbm12b1,ENSG00000183808,62.5375
B3galnt2,ENSG00000162885,87.8
Itgal,ENSG00000005844,69.5726
